[0] 任务一览
[267] 击退敌军入侵 1次：资金×1000 2次：D2P代币×5 3次：坚韧掉落物×1 4次：强化点数礼包×10
[268] 以大规模出战人数进行战斗 1次：巫女绘马×1 2次：资金×10000 3次：重置挂饰×1
[269] 全域作战取得胜利 3次：资金×1000 6次：D2P代币×5 9次：坚韧掉落物×1 12次：强化点数礼包×10 15次：重置挂饰×1
[270] 制作装置 1个：强化点数礼包×10 3个：坚韧掉落物×1 5个：小型觉醒之木×1
[271] 破坏1次怪电波装置 未知素材×1
[272] 改良装置 1次：资金×1000 2次：D2P代币×5 3次：坚韧掉落物×1 4次：强化点数礼包×10 5次：重置挂饰×1
[273] 在全域作战任意地图研发装置「宝船」1次 巫女绘马×1
[274] 使用黄色代币兑换一次道具 时间缩短券×10
[275] 第2回～第3回全域作战
[276] 任务名称
[277] 奖励
[278] 备注
[279] 在全域作战制作1个装置
[280] 资金10000
[281] 在全域作战制作3个装置
[282] 宝箱×10
[283] 在全域作战制作5个装置
[284] 重置挂饰
[285] 在全域作战累计经过3回合
[286] 活力原液
[287] 在全域作战累计经过6回合
[288] 坚韧掉落物
[289] 在全域作战累计经过10回合
[290] 重置挂饰
[291] 以少量参战人数进行1次战斗
[292] 坚韧掉落物
[293] 以中等参战人数进行1次战斗
[294] 重置挂饰
[295] 以大量参战人数进行1次战斗
[296] 活力原液
[297] 以大规模参战人数进行1次战斗
[298] 巫女绘马
[299] 在全域作战击退1次敌军入侵
[300] 坚韧掉落物
[301] 在全域作战击退2次敌军入侵
[302] 重置挂饰
[303] 在全域作战击退3次敌军入侵
[304] 时间缩短券×5
[305] 在全域作战击退4次敌军入侵
[306] 资金10000
[307] 在全域作战破坏3次怪电波装置
[308] 巫女绘马
[309] 在全域作战战斗取得3次胜利
[310] 坚韧掉落物
[311] 大规模人数跳过战斗也可完成
[312] 在全域作战战斗取得6次胜利
[313] 重置挂饰
[314] 在全域作战战斗取得9次胜利
[315] 活力原液
[316] 在全域作战战斗取得12次胜利
[317] 巫女绘马
[318] 在全域作战战斗取得15次胜利
[319] 小型觉醒之木
[320] 新手入门任务
[321] 仅查看任务标题不会判定为完成。（必须点击开始按钮）
[322] 完成当前条目1阶段任务后，会解锁该条目下一阶段任务。
[323] 完成特定任务后，会解锁全新任务分类。
[324] 任务名称
[325] 解锁条件
[326] 奖励
[327] 备注
[328] [主界面1]更换玩家头像
[329] 初始已解锁
[330] 宝箱×10
[331] [主界面2]打开商店
[332] 资金×1000
[333] [主界面3]打开帮助界面
[334] 连锁口香糖×3
[335] [主界面4]使用兑换所
[336] 活力原液×1
[337] 在变卖所将道具兑换为代币即可完成
[338] [主界面5]恢复体力
[339] 爱欲之核×1
[340] [主界面6]更换主界面背景
[341] 爱欲之核×1
[342] 在主界面下方「角色」菜单栏中段的「主界面设置」内操作 2025/11/12新增
[343] [战斗1]设置出战优先级
[344] 初始已解锁
[345] 活力原液×1
[346] 若优先级1已满5个角色，仅取消再勾选原有角色不会判定完成；更换任意一名角色保存出战配置后才算完成
[347] [战斗2]战斗中让角色撤退
[348] 强化点数礼包×3
[349] [战斗3]使用A以外的出战配置
[350] 强化点数礼包×3
[351] [战斗4]挑战每日副本
[352] 蝶矿石×3
[353] [战斗5]挑战B宇宙
[354] 宝箱×10
[355] 仅挑战即可，战败也能完成 2025/11/12新增
[356] [抽卡1]消耗蝶矿石进行抽卡
[357] 初始已解锁
[358] 单抽抽卡券×1
[359] [抽卡2]使用抽卡券抽卡
[360] 高级抽卡券×1
[361] [抽卡3]使用高级抽卡券
[362] [抽卡4]进行D2P抽卡
[363] 蝶矿石×1
[364] [好感1]更换主界面展示角色
[365] 完成[主界面5]解锁
[366] 爱欲之核×1
[367] [好感2]使用道具提升好感度
[368] 巫女绘马×3
[369] 使用好感天使无法完成
[370] [捕获1]推进主线至第一章第2话
[371] 完成[好感2]解锁
[372] 活力原液×1
[373] [捕获2]达成捕获条件
[374] 蝶矿石×1
[375] 观看艾斯卡·露比加入剧情即可完成；若领取任务前已观看，重新观看（可跳过）即可完成
[376] [捕获3]设置捕获目标
[377] 活力原液×1
[378] 已设置的话解除后重新设置即可
[379] [捕获4]被敌方捕获一次
[380] 通信虫×1
[381] 跳过战斗无法完成
[382] [突破1]使用道具提升突破点数
[383] 完成[好感2]解锁
[384] 强化点数礼包×3
[385] 除巫女绘马外其他道具也可完成
[386] [突破2]完成一次角色上限突破
[387] 强化点数礼包×3
[388] [开宝箱1]手动消除面板
[389] 完成[宝箱开2]解锁
[390] 小额吸尘器×1
[391] 自动消除无法完成
[392] [开宝箱2]一次消除两列及以上面板
[393] 宝箱×10
[394] [装备仓库1]装备道具
[395] 完成[宝箱开2]解锁
[396] 小额吸尘器×1
[397] [装备仓库2]强化装备
[398] 强化点数礼包×3
[399] [装备仓库3]使用道具获取强化点数
[400] 资金×10000
[401] 仅使用强化点数礼包以外道具无法完成
[402] [装备仓库4]扩充仓库容量
[403] 强化点数礼包×5
[404] [特殊强化1]使用D充能+获取觉醒点数
[405] 爱欲之核×1
[406] 详情可查看D充能+界面 2025/11/12新增
[407] [皮肤1]打开皮肤兑换所
[408] 初始已解锁
[409] 强化点数礼包×3
[410] 皮肤兑换所入口：主界面下方「商店/兑换所」→菜单栏「兑换所研发实验室」 2025/11/12新增
[411] [助战1]设置助战角色
[412] 资金×10000
[413] 设置入口：主界面下方「角色」菜单栏内的「助战」 2025/11/12新增
[414] 旧版新手入门任务（2022/01/19之前）
[415] 任务名称
[416] 奖励
[417] 备注
[418] 【入门1】完成全部入门1阶段任务
[419] SR保底抽卡券×1
[420] 【入门1】设置玩家头像
[421] 蝶矿石×3
[422] 【入门1】更换主界面展示角色
[423] 蝶矿石×3
[424] 【入门1】使用道具恢复体力
[425] 蝶矿石×3
[426] 【入门1】设置出战优先级并通关关卡
[427] 活力原液×3
[428] 【入门1】使用绘马提升突破点数
[429] 活力原液×3
[430] 【入门1】使用爱欲之核提升好感度
[431] 活力原液×3
[432] 【入门2】进行D2P抽卡
[433] 活力原液×1
[434] 需要消耗100D2P代币
[435] 【入门2】扩充仓库容量
[436] 蝶矿石×3
[437] 需要消耗10000资金
[438] 评论留言区
[439] 体力减半时段6-10点或8-10点刷本性价比更高——[k1/JH4mTgtE] 2020-12-18 (周五)
[440] 蜜糖角色根本抽不到——[YN7w2Pf1ku.] 2020-12-20 (周日)
[441] 哪里更容易出蜜糖角色？——[Pvpsqv3gSrw] 2020-12-22 (周二)
[442] 现在常规任务排行榜大佬们进度大概到多少了……——[4bMgk2HDoQ6] 2020-12-31 (周四)
[443] 虽然标注了倍数，但任务所需数值会逐步上涨——[4bMgk2HDoQ6] 2021-01-09 (周六)
[444] 每日任务需要大量击杀敌人吗？还是只算资金相关任务？——[fDCL3hAOt7M] 2021-01-12 (周二)
[445] 比起日常任务，主线更新的限时宣传任务参考价值更高，一周要刷3000只怪那段我刷吐了——[BhkamzwJ2S2] 2021-03-05 (周五)
[446] 刚发现资金任务统计的是道具变卖总收入，不是通关获取资金，之前白刷吸尘器、铂矿道具了……——[egLgUsZwaxM] 2021-02-08 (周一)
[447] 没想到文档里写了这点……抱歉感谢补充——[P/k4/u/m5vc] 2021-05-04 (周二)
[448] 我觉得能不消耗角色碎片就尽量不用，100碎片才换5个矿石太亏了；不过以后限定角色肯定免不了要消耗——[Gxe7mYUxnNI] 2021-05-16 (周日)
[449] 估计后续还要上新好感度相关新系统，不清楚所需好感数值；喜欢的角色也就几个，刷起来应该很快——[Mtoag44SDDM] 2021-10-02 (周六)
[450] 应该是为觉醒强化做铺垫吧。我角色突破、养成进度跟不上，所以碎片道具反而很珍贵。零氪和微氪玩家连觉醒门槛都摸不到，碎片道具对他们更实用——[C7ilqK14xVI] 2021-12-23 (周四)
[451] 春节和上次复刻活动又把碎片掏空了。除重氪玩家外，就算把资源全砸给本命角色，觉醒木、D2P代币也完全不够用；现在抽卡能出绘马，单纯强化资源是变多了，但限时兑换的门槛反而抬高了——[Mtoag44SDDM] 2022-01-18 (周二)
