# 完整配对（回流权威源）
# 格式：日文<TAB>中文

必殺	必杀
任意	任意
魔力	魔力
天使	天使
因子	因子
スーパー	超级
選択	选择
純愛	纯爱
姫路	姫路
体育	体育
所持	持有
ハロウィン	万圣节
サポート	辅助
クリア	通关
身体	身体
アナル	肛部
上記	如上
延長	延长
参戦	参战
ランダム	随机
サイカ	彩香
陣地	阵地
必須	必备
自己	自身
段階	阶段
頭領	头领
普段	平常
意識	意识
常設	常驻
記憶	记忆
累計	累计
価値	价值
リソース	资源
マップ	地图
経過	经过
数値	数值
言葉	话语
正常	正常
後列	后排
自体	本身
カクセイ	觉醒
フー	芙
指標	指标
今回	本次
バッファー	增益辅助角色
理由	理由
広域	大范围
不要	不需要
一般	普通
現状	现状
ランク	等级
課金	氪金
計算	计算
仕事	工作
主人公	主角
束縛	束缚
撃退	击退
説明	说明
自由	自由
結果	结果
セラフィール	塞拉菲鲁
短評	简评
メインクエストイベントクエスト	主线任务、活动任务
ミカフィール	米卡菲尔
シリカ	希莉卡
快楽	快感
ベッド	床
カク	觉醒
推奨	推荐
別	其他
ボーナス	奖励
討伐	讨伐
貴重	珍贵
前提	前提
無理	难以实现
ミッション	任务
セイ	圣
アカネ	茜
お嬢様	大小姐
役割	定位
一番	第一
エンジン	引擎
自動	自动
開放	解锁
穴	孔洞
判定	判定
党	阵营
目的	目的
指定	指定
龍	龙
残り	剩余
スキン	皮肤
強み	优势
特徴	特征
性格	性格
平均	平均
一緒	一同
見た目	外观
時代	时代
エナジー	能量
ツカサ	司
ターン	回合
活用	活用
組織	组织
参考	参考
催眠	催眠
着衣	着装
デザイン	设计
セリフ	台词
女の子	女孩子
騎乗	骑乘
メリット	优势
場面	场景
後背	后背
九大	九大
個人	个人
パネル	面板
責め	责弄
脱衣	脱衣
懇願	恳求
怪	魔物
処理	处理
凌辱	凌辱
ブレイク	破防
上位	上位
衝撃	冲击
手段	手段
初出	初次登场
ユニット	单位
花嫁	新娘
悪魔	恶魔
高め	偏高
達成	达成
購入	购买
自ら	亲自
累積	累积
枠	栏位
太陽	太阳
仁王	仁王
候補	候选
ヒロイン	女主角
チョコ	巧克力
無駄	无用
ホーム	主页
忍者	忍者
足	足部
担当	负责
対策	对策
実質	实质上
ボタン	按钮
通り	如上
補助	辅助
操作	操作
バフデバフ	增益·减益
生存	生存
同時	同时
ピックアップ	精选招募
アメイズ	阿梅兹
有用	实用
点灯	点亮
比較	对比
最強	最强
加算	加法计算
列	横排
英雄	英雄
合計	合计
ファンタスマ	凡塔斯玛
武器	武器
解放	解锁
右	右侧
露出	露出
正義	正义
周回	循环刷图
動画	视频
コスチューム	服装
キクリ	菊理
完	完成
部隊	部队
排出	产出
捕縛	捕获
破壊	破坏
一つ	一个
絶対	绝对
フウカ	风香
セックス	性行为
シリーズ	系列
開封	开启
人気	人气
リセット	重置
モーション	动作模组
描写	描写
カペラ	卡佩拉
新規	新增
微妙	表现一般
環境	环境
倍	倍数
下着	内衣
パッチ	补丁
ニコール	妮可尔
貢献	贡献
機会	机会
最低	最低
後ろ	后方
シズカ	静香
魔王	魔王
手元	手边
屋敷	宅邸
今後	今后
不明	不明
エッチ	色情行为
アステライズ	阿斯特莱兹
範囲	范围
怪人	怪人
確実	稳定
併用	搭配使用
アニバーサリー	周年活动
途中	中途
乳首	乳头
ユニ	优尼
周囲	周围
毎秒	每秒
採用	选用
余裕	富余
確保	确保
捕獲	捕获
割	比例
元気	状态良好
コスモス	科斯莫斯
ガチャチケット	招募券
成功	成功
中出	内射
デバッファー	减益辅助角色
スキップ	跳过
弱点	弱点
起動	启动
自然	自然
発情	发情
構成	编队
恩恵	收益
記載	记载
目当て	目标
最近	近期
専用	专属
初回	首次
共通	通用
特定	特定
媚薬	媚药
召喚	召唤
パターン	模式
販売	售卖
両方	两者
アルカナ	奥秘
認識	认知
無料	免费
開発	开发
新た	全新
失敗	失败
下半身	下半身
ベース	基础
ダメバフ	伤害增益
タカ	鹰
スタメン	常驻编队
精液	精液
市民	市民
ステ	属性
ﾌｨｰﾙﾄﾞ	领域
空間	空间
眼鏡	眼镜
感度	敏感度
堕威大	堕威大
舟	船
耐久	耐久
強制	强制
常時	常驻
大型	大型
主力	主力
コテツ	钢铁
開幕	开局
交代	替换
デイリー	每日任务
長官	长官
直後	紧随其后
アリス	爱丽丝
掃除	清扫
作品	作品
パーティー	队伍
ハツネ	初音
ニャンコ	喵子
腹	腹部
股	胯部
全部	全部
一般人	普通人
イーイー	伊伊
出番	登场
コキ	口交
仲間	同伴
リーマ	莉玛
売却	出售
マドカ	圆香
マス	面具
フェラ	口交
クラ	班级
尻	臀部
アップデート	更新
選択肢	选项
大幅	大幅
ムツカ	睦香
イメージ	印象
絵師	画师
一定	固定
リス	松鼠
活動	活动
検証	验证
位置	位置
ボックス	BOX
興奮	兴奋
投入	投入
クリスマス	圣诞节
表記	标注
盾	护盾
特性	特性
女性	女性
各種	各类
バランス	平衡
サナギ	沙奈木
有償	付费
印象	印象
単純	单纯
ピカ	皮卡
ハート	爱心
カバー	掩护
気持ち	心情
回収	回收
オート	自动
封印	封印
前後	前后
リズナ	莉兹娜
ハガネ	钢
簡単	简单
生活	生活
残念	可惜
愛撫	爱抚
倉庫	仓库
手持ち	持有
ハイ	海
ザイン	扎因
原液	原液
修正	修正
供給	供给
進行	推进
膣	阴道
稼ぎ	收益
決戦	决战
戦い	战斗
割合	比例
乳	乳房
設置	布置
技術	技术
好み	喜好
大丈夫	没问题
危険	危险
要員	人员
模様	纹路
事	事情
フィーバー	狂热状态
ファン	粉丝
帽子	帽子
子供	孩童
ラメール	拉梅尔
低下	下降
地味	不起眼
精神	精神
好感	好感度
単独	单人
サンタ	圣诞老人
キリエル	基利艾尔
キリ	基利
人物	人物
予定	预定
項目	项目
相当	相当
本来	原本
単発	单次抽取
カゲリ	影理
積極	积极
確殺	稳定击杀
支援	支援
感情	情绪
宣言	宣言
アヤカ	彩香
狩り	狩猎
暴走	暴走
バトル	战斗
ハニ	哈妮
電波	电波
特攻	特攻
メガ	梅加
頻度	频率
短縮	缩短
制服	制服
重視	重视
亀甲	龟甲
バック	后入
潮吹き	潮吹
殲忍	殲忍
大好き	非常喜欢
ユキ	雪
済	结束
欄	栏
本番	本番
実行	执行
兼	兼任
低め	偏低
クサリ	锁链
アイコ	爱子
若干	略微
界	领域
ソフト	软体
ズク	兹库
裏	幕后
王子	王子
大変	辛苦
任務	任务
面倒	麻烦
撃発生	攻击触发
我慢	忍耐
後半	后半段
当時	当时
多く	很多
地下	地下
データ	数据
アル	阿尔
アイコン	图标
素材	素材
挑戦	挑战
サービス	服务
まねき猫	招财猫
適用	适用
表	表格
唯一	唯一
同等	同等
先頭	最前方
プレイアブル	可操作角色
コマ	回合
ケース	情况
キャンペーン	活动
エロコマンダー	色情指挥官
起用	启用
準備	准备
様々	各种各样
時期	时期
我	我
バレ	暴露
ジーク	吉克
クチナワ	朽绳
鎖	锁链
確か	确实
先生	老师
輪姦	轮奸
母	母亲
撮影	拍摄
想定	设想
ライン	线路
ムーンライズ	月升
フリート	舰队
ＡＤＤＤ	ＡＤＤＤ
補充	补充
バフ・デバフ	增益·减益
閃忍系	闪忍系
温存	留存
戦線	战线
後続	后续
妊娠	怀孕
余命	剩余寿命
仕方	没办法
アカリ	明里
結局	说到底
周り	周边
半減	减半
レジェンド	传奇
集中	集中
表現	表现
毎日	每日
楽	轻松
接	衔接
巨大	巨型
変換	转换
声優	声优
現代	现代
流石	不愧是
正直	老实说
快感	快感
値	数值
メイファール	梅法尔
マリナ	玛莉娜
マリ	玛莉
長髪	长发
配信	实装
行為	行为
考慮	考量
男性	男性
改良	改良
展開	剧情走向
命令	命令
ペニス	阴茎
オススメ	推荐
エリー	艾莉
アリ	阿里
アキエ	秋惠
消耗	消耗
宇宙	宇宙
参上	登场
全身	全身
ルー	露
薬	药剂
脚	腿部
学園	学园
奉仕	侍奉
初音	初音
ポラリス	北极星
黄色	黄色
開眼	开眼
遁	遁术
連続	连续
模擬	模拟
今日	今天
ヤブ	矢部
タール	焦油
コス	服装
判断	判断
不可能	不可能
プレゼント	礼物
魂	灵魂
高円寺	高圆寺
目安	参考标准
人類	人类
拡張	扩张
恋人	恋人
強敵	强敌
子宮	子宫
ブログ	博客
ハード	困难模式
エスカ	艾丝卡
ウール	羊毛
股間	胯间
並	普通
レイプ	强奸
組み合わせ	组合
笑顔	笑容
現実	现实
最速	最快
マユリ	真由理
マジ	真的
トパーズ	托帕石
シチュ	场景
高速	高速
理解	理解
間違い	错误
皇帝	皇帝
満足	满足
撃破	击破
感覚	感官
完成	完成
傾向	倾向
一切	完全
モンスター	魔物
オナニー	自慰
童貞	处男
基地	基地
ヒーロー	英雄
パス	通行证
アスマール	阿斯玛尔
お願い	拜托
電光	电光
要求	需求
特別	特殊
洗脳	洗脑
夢	梦境
基礎	基础
四方堂	四方堂
傷	伤痕
モノ	物品
アキレス	阿喀琉斯
相応	相应
汎用	通用
機械	机械
大洋	大洋
地球	地球
マヤエル	玛雅艾尔
ダーク	黑暗
量	数量
被弾	被攻击
瞬間	瞬间
直前	即将
加速	加速
到達	抵达
以前	此前
レア	稀有
ブラウザ	浏览器
フル	完整
コトネーゼ	可托涅泽
カー	车辆
祝福	祝福器
演出	演出
正体	真身
投票	投票
手足	手脚
原画	原画
使い勝手	使用手感
事情	情况
ﾀﾞﾒｰｼﾞ	伤害
陥落	陷落
鎧	铠甲
言及	提及
次回	下次
商品	商品
互換	互换
マーク	标记
適応	适配
趣味	爱好
裂余命	剩余寿命撕裂
稀	稀少
犬	犬
大仏	大佛
変	奇怪
ボテ	孕肚
アルデバラン	毕宿五
既存	已有
大事	重要
多数	大量
取り巻き	随从
劇	戏剧
ロック	锁定
ハードル	门槛
カウント	计数
高性能	高性能
救助	救助
堕天使	堕天使
原因	原因
人質	人质
ポーズ	姿势
フローレル	弗洛雷鲁
バイブ	震动棒
ノーマル	普通
ターゲット	目标
カット	切断
エネルギー	能量
ウルザ	乌尔扎
都合	方便
解説	解说
由来	由来
暗転	黑屏
戦場	战场
前衛	前卫
事件	事件
ロリ	萝莉
ランスコラボ	兰斯联动
ピックアップガチャ	精选招募卡池
スタッフ	制作人员
シナジー	协同效果
エリア	区域
運営	运营
治療	治疗
未来	未来
方向	方向
意見	意见
告知	公告
動き	动作
前回	上一次
オルタナスタイン	奥尔特纳斯坦
街	城镇
現場	现场
人形	人偶
セツニャ	雪喵
コンセプト	概念
順番	顺序
素股	股间摩擦
研究	研究
次元	次元
控えめ	克制
形態	形态
別枠	独立栏位
事故	事故
シンプル	简洁
違い	差别
退場	退场
転移	传送
希少	稀有
使い方	用法
作戦	战术
リア	莉娅
メイド	女仆
スタート	开局
イザナエル	伊扎纳艾尔
鐘	钟
苦手	不擅长
背面	背面
ネオノロイ	尼奥诺洛伊
シーラ	希拉
キッカ	琪卡
手数	攻击次数
乙女	少女
ミスティカル	神秘
フェスガチャ	庆典招募卡池
ドレス	礼服
イベ	活动
頼り	依靠
蛇	蛇
直接	直接
復活	复活
崩壊	崩坏
奴隷	奴隶
ルーム	房间
マル	马尔
スキル	技能
サファイア	蓝宝石
クルル	库鲁鲁
解決	解决
演技	演技
早め	尽早
改造	改造
幸せ	幸福
容易	容易
季節	季节
困難	困难
四天王	四天王
勘違い	误会
判明	判明
ポピー	波比
ゴブリン	哥布林
クイーン	女王
ガチ	认真
音楽	音乐
陣営	阵营
適当	随意
継	持续
姦	性交
反応	反应
エリザベス	伊丽莎白
該当	对应
縁	缘分
眼	眼睛
構図	构图
向上	提升
上げ	上调
チーム	队伍
ソシャゲ	手游
高値	高价
様子	情况
半分	一半
助け	协助
レジデュー	雷吉杜
ヒト	人
トップクラス	顶级
アクティブ	主动技能
流れ	走向
外見	外观
告白	告白
使い	运用
メガエル	梅加艾尔
フタバ	双叶
スカート	裙子
イレーナ	伊蕾娜
アキラ	明
間隔	间隔
消滅	消灭
格好	装束
本編	主线剧情
手間	功夫
成長	成长
必中	必定命中
外伝	外传
先行	先行
メンテ	维护
マディオン	马迪翁
フィールドバフ	领域增益
スタイル	风格
エピソード	支线剧情
アプリ	应用
見参	登场
温泉	温泉
日本	日本
戦術	战术
子猫	小猫
反逆	反叛
勝手	擅自
再現	重现
リゲル	利格尔
スピカ	斯皮卡
闘神都	斗神都
謙信	谦信
肉体	肉体
永続	永续
最適	最优
同士	互相
修行	修行
一時	暂时
クラス	职业
②	②
詰合せ	组合
持続	持续
戦国	战国
意思	意志
客	客人
ブラ	胸罩
グループ	团体
イブ	伊芙
総合	综合
筆頭	首位
欠点	缺点
挙動	行动逻辑
字	文字
変態	变态
制圧	压制
出産	分娩
ランキング	排行榜
ユーザー	玩家
バインド	束缚
タイム	时间
カエル	青蛙
オーク	兽人
インフレ	数值膨胀
調教	调教
自力	自身
破損	破损
古代	古代
作中	作品内
ユリ	百合
フェリニ	菲莉妮
ノドカ	和香
質問	问题
補正	修正
破瓜	破处
母乳	母乳
控え	后备
基準	基准
全力	全力
上書き	覆盖
パン	面包
タブ	标签
アール	阿尔
訓練	训练
表情	表情
絶望	绝望
歌	歌唱
槍	长枪
対面	面对面
姉さん	姐姐
反映	反映
功	功绩
公園	公园
モチーフ	原型
デート	约会
スペック	面板数值
ジョー	乔
逆転	逆转
言動	言行
移行	过渡
気軽	轻松
本体	本体
当主	家主
希望	希望
太もも	大腿
名乗り	自报姓名
初動	初始动作
再生	再生
ママ	妈妈
タイトル	标题
カミーユ	卡米尔
エスカレーション	超昂
アレ	那个
違和感	违和感
耳	耳朵
結婚	结婚
経緯	经过
素直	坦率
純粋	纯粹
理想	理想
無印	无印版
施設	设施
数字	数字
心配	担心
復帰	回归
後衛	后卫
実験	实验
安心	安心
大体	大致
十姉妹	十姐妹
兵器	兵器
ヴィーカ	维卡
レート	汇率
マシ	尚可
テンプ	模板
テトリス	俄罗斯方块
タマキ	环
スピリット	精灵
アクセラレーター	加速器
道中	途中
身代わり	替身
神話	神话
生徒	学生
牙	獠牙
提供	提供
廃	废弃
定期	定期
安全	安全
動作	动作
利点	优点
分	分钟
公開	公开
中心	中心
ジブリール	吉卜利尔
首	颈部
突入	突入
真面目	认真
癖	癖好
明らか	明显
後日	日后谈
学生	学生
冒険	冒险
例外	例外
伝説	传说
リルカ	莉露卡
メグミ	惠
パワー	力量
ゴウカ	豪香
防衛	防御
自前	自备
節約	节约
神武	神武
潜入	潜入
提案	提议
感謝	感谢
左	左侧
圧倒的	压倒性
台詞	台词
使い道	用途
バビニル	巴比尼尔
ダンス	舞蹈
サイズ	尺寸
コラボイベント	联动活动
カメラ	相机
オルタナ	变体
オリジナル	原版
お世話	照料
貫通	贯通
記事	文章
覚悟	觉悟
罠	陷阱
管理	管理
男子	男性
狙い	目标
有利	有利
明確	明确
悩み	烦恼
卵	卵
ルックス	外观
タイ	泰国
カノン	卡农
毎回	每次
手順	步骤
怪物	怪物
平和	和平
八重樫	八重樫
事態	事态
ワン	一
ロマン	浪漫
ラブホテル	情人旅馆
ラブディエル	拉布迪艾尔
メンテナンス	维护
スルー	无视
アンドロイド	仿生人
アク	阿克
電脳	电子
雰囲気	氛围
隙	空隙
連発	连续释放
欠片	碎片
損	损失
底上げ	补强
国防	国防
呪い	诅咒
否定	否定
口上	开场白
側	侧面
ヴィーカ・ガオンヌ	维卡·高恩努
ループ	循环
リカ	莉香
モード	模式
ペース	节奏
ブロクミエル	布罗克米艾尔
パーティ	队伍
ダブル	双重
ショタ	正太
コバリ	小针
カノープス	卡诺普斯
①	①
ｽﾀﾐﾅ	体力
陵辱	凌辱
閂市	闩市
適切	合适
辺	边缘
被害	受害
秒	秒
無限	无限
残	剩余
有力	强力
志津香	志津香
周期	周期
レイドイベント	讨伐活动
リスク	风险
ユユエル	悠悠艾尔
フラ	芙拉
パラメータ	参数
チェック	检查
エロゲ	美少女游戏
鬼畜	鬼畜
風呂	浴室
面	表面
需要	需求
鎌	镰刀
連打	连点
近く	附近
葉月	叶月
良好	良好
硬直	硬直
料理	料理
後悔	后悔
当該	该
強要	强迫
嫌	讨厌
妨害	妨害
失禁	失禁
同一	同一
一瞬	一瞬间
ハルナ	春奈
アイ	爱
魅力	魅力
爆発	爆发
漫画	漫画
本気	认真
昔	从前
日々	每日
合体	合体
双方	双方
動物	动物
制御	控制
不能	无法
レグルス	轩辕十四
ルート	路线
チップ	芯片
サテラ	萨泰拉
カード	卡牌
カナ	加奈
適正	适性
補強	补强
背景	背景
肌	肌肤
竿	阴茎
相対	相对
渡り	过渡
減衰	衰减
構築	构筑
期限	期限
有能	优秀
文字	文字
改善	优化
嫁	妻子
妖蠱	妖蛊
多め	偏多
地獄	地狱
今度	下次
予想	预想
下手	水平一般
ラボ	实验室
ミーナ	米娜
ツルコ	鹤子
スター	星辰
クラウン	皇冠
ガン	枪械
イキ	高潮
難点	缺点
長時間	长时间
知識	知识
発言	发言
痛み	疼痛
特撮	特摄
協力	协力
勝負	胜负
兼任	兼任
ユリエル	尤莉艾尔
タイツ	丝袜
雑	粗糙
邪魔	妨碍
遺産	遗产
補佐	辅佐
興味	兴趣
等	等等
欲望	欲望
来襲	来袭
有無	有无
月影	月影
技	招式
復讐	复仇
年齢	年龄
宝石	宝石
大抵	大致
大半	大半
外	外部
半年	半年
仲	伙伴
両手	双手
ルクセール	卢克塞尔
リボン	丝带
ランスシリーズ	兰斯系列
デカ	巨大
チュートリアル	新手教程
ゲー	游戏
クリ	阴蒂
負担	负担
護国	护国
素敵	出色
納得	认同
立場	立场
相談	商议
決定	决定
怒り	愤怒
定番	经典
奏	奏
先輩	前辈
中身	内在
ワーグ	瓦格
レイヴン	渡鸦
フォロー	跟进
ビル	建筑
スライム	史莱姆
クリティカル	暴击
エネミー	敌方单位
エスカレーションヒロインズ	超昂大战
運命	命运
蜘蛛	蜘蛛
葉	叶子
華	花朵
脱出	脱出
祭り	祭典
消化	消化
保護	保护
保証	保证
他人	他人
リバース	反转
ミス	失误
プール	泳池
パンドラ	潘多拉
バイク	摩托
チン	阴茎
ダメージスタン	伤害眩晕
セリ	芹
魔界	魔界
鏡	镜子
神力	神力
短時間	短时间
発見	发现
痴女	痴女
由香	由香
特訓	特训
決意	决心
指南	指引
手軽	简便
手裏剣	手里剑
往嬢	往嬢
対処	应对
女郎蜘蛛	女郎蜘蛛
外法	外法
報告	报告
出力	输出
体力	体力
伸び	成长幅度
人々	人们
五月雨	五月雨
一撃	一击
ミモザ	含羞草
ミニテクトル	迷你泰克托尔
マリア	玛利亚
マヤ	玛雅
パッシブ	被动
ノー	不
ナギ	凪
オーラ	气场
記述	记述
背中	背部
結界	结界
球団	球团
毎月	每月
換算	换算
才能	才能
感想	感想
強者	强者
容赦	毫不留情
同種	同类
取引	交易
仮面ライダー	假面骑士
不思議	不可思议
上級	上级
ライブ	现场演出
パル	脉冲
バー	吧台
ネック	颈部
スタ	属性
シオン	紫苑
お腹	腹部
部下	部下
自動的	自动
自信	自信
瀕死	濒死
文章	文本
指摘	指出
当初	当初
当たり	命中
巨根	巨根
寸前	前夕
宗教	宗教
信頼	信赖
依頼	委托
作成	制作
事実	事实
ワースト	最差
ルカ	露卡
ドラ	多拉
ツッコミ	吐槽
クラスメイト	同学
キャンセル	取消
イズミ	泉
アエカ	阿惠香
軍神	军神
補足	补充
蒼	苍
疑似	疑似
消去	消除
気分	心情
殆ど	几乎
春霞	春霞
意図	意图
想い	思念
性癖	性癖
忍法	忍术
強烈	强烈
常識	常识
尻尾	尾巴
家族	家族
即座	立刻
以後	之后
亜	亚
ロード	加载
リスト	清单
メイ	梅
マッサージ	按摩
プロキオン	南河三
フェイズ	阶段
キリカ	莉香
ガチャキャラ	招募角色
お知らせ	公告
③	③
路地	小巷
複合	复合
禁止	禁止
破れ	破损
父親	父亲
無償	无偿
有名	知名
春	春季
新年	新年
想像	想象
役	职务
実用	实用
天下	天下
園	庭院
医療	医疗
再戦	再战
依存	依赖
中年	中年
レヴィ	蕾薇
リーマー	上班族
カゼ	感冒
オマケ	附赠
鼓動	心跳
難	困难
連戦	连续作战
記録	记录
観客	观众
終盤	终盘
約束	约定
社会	社会
破格	破格
無意味	无意义
断面	断面
教室	教室
支配	支配
恐怖	恐惧
大人	成年人
吸収	吸收
収集	收集
前述	前文
兄弟	兄弟
以来	自从
人格	人格
一族	一族
ラッシュ	猛攻
チューリップ	郁金香
ゾンビ	僵尸
クンニ	舔阴
キレー	高潮
音声	语音
遅延	延迟
苦痛	痛苦
考察	考察
生物	生物
正式	正式
指示	指示
把握	掌握
壊滅	毁灭
向こう	对面
友達	朋友
匂い	气味
不満	不满
ユリカ	百合香
パイズリ	乳交
ドラゴン	龙
ソル	索尔
ストナ	斯托娜
ジェレミー	杰里米
ゲット	获得
アニメ	动画
アジト	据点
類	种类
視野	视野
爆弾	炸弹
無条件	无条件
検討	研讨
本当	真的
最新	最新
方針	方针
教祖	教祖
彷徨	彷徨
山の幸	山珍
天才	天才
個数	数量
体験	体验
他者	其他人
ラブラブ	热恋
ポジション	站位
ホント	真的
ベガ	贝加
コンビ	搭档
ゲニン	下忍
イマイチ	效果一般
アナザーマイス	另一个麦斯
辺り	周边
軸	轴心
繭	茧
発売	发售
用途	用途
拒絶	拒绝
投与	投放
戦車	战车
悲鳴	悲鸣
幼少	幼年
幹部	干部
左右	左右
実力	实力
完結	完结
学校	学校
喜	喜悦
合流	汇合
代用	替代
人権	人权
二つ	两个
不具合	故障
ライダー	骑士
マチ	真知
マイナス	负数
バッファー・デバッファー	增益辅助·减益辅助
ドキドキ	心跳不已
チョコレート	巧克力
チケ	券
クリトリス	阴蒂
キョウカ	京香
カボチャ	南瓜
イベスト	活动剧情
ＳＤＤＤ	ＳＤＤＤ
長所	优点
計画	计划
解釈	解读
視線	视线
石鎚	石锤
擾乱	扰乱
撃目時	攻击命中时
推測	推测
接触	接触
持ち主	持有者
戯	戏弄
性質	性质
思い	想法
後者	后者
小屋	小屋
対抗	对抗
女子	女生
外出	外出
入れ替え	互换
偶然	偶然
上述	如上
上下	上下
ピンク	粉色
パスチャ	牧场
ハッピー	开心
タン	坦克
ゼブリエル	泽布利艾尔
ジョナ	乔纳
お互い	互相
魔術	魔术
駐留	驻守
靴	鞋子
集団	集团
陰毛	阴毛
速攻	速攻
費用	费用
虹	彩虹
系列	系列
立ち回り	操作思路
理論	理论
狐	狐狸
片方	其中一方
父	父亲
漢	男性
最大限	最大限度
暗殺	暗杀
敵対	敌对
抵	抵抗
戦法	战法
思考	思考
差別	歧视
将来	将来
