[0] 关于宝箱
[166] 倍率加成随持有角色数量提升；玩家等级每提升5级额外+1倍率，上限100级。主动消除爱心面板时，最终经验值会乘以该倍率。倍率数值显示在开宝箱界面右上角。若即将升到5级倍数等级，建议先升级再消除；若准备抽卡，先抽卡新增角色再消除，收益更高。
[167] 面板旋转操作 †
[168] 摆放面板时可旋转调整形状，点击左旋/右旋按钮消耗10资金，单次付费后可自由旋转该面板。默认设置每次旋转都会弹出确认弹窗，资金充足的话可在设置关闭「旋转面板时弹出确认框」，减少操作步骤。
[169] 也可使用鼠标滚轮旋转面板。默认设置下必须先点击旋转按钮付费解锁旋转权限才能用滚轮；在设置「宝箱面板配置①」开启「滚轮旋转直接扣除旋转费用」，即可直接滚轮旋转面板。
[170] 消除奖励 †
[171] 每次成功消除都会发放对应奖励。同时消除多行时，强化点数、新增基底格子、资金奖励全部提升；一次性消除3行及以上，还有概率在空余基底随机生成1张心动硬币面板（+5D2P点数）。主线更新后的限时任务常要求一次性消除3行、4行。
[172] 消除行数
[173] 强化点数奖励
[174] 新增基底格子
[175] 资金奖励
[176] 心动硬币面板（概率产出）
[177] 消除1行
[178] 消除2行
[179] 消除3行
[180] 产出1枚
[181] 消除4行
[182] 产出1枚*1
[183] ※强化点数奖励最低为1，小数点后数值直接舍去。
[184] 底部行数超时强制消除规则 †
[185] 每开启1个宝箱，界面右下角倒计时次数减1；倒计时归零触发强制消除，直接清除最底部一整行。强制消除存在多重弊端：
[186] 该行爱心面板的消除倍率失效，仅按基础1倍计算（等同于爱心面板收益几乎清零）。
[187] 被强制消除行内的所有道具直接消失，无法获取。
[188] 不计入消除行数任务计数，无法领取对应蝶矿石奖励。
[189] 无论手动还是自动消除整行，都会重置倒计时次数；重置数值随机20~30，不会低于消除完成后的剩余倒计时数值。
[190] 道具总览 †
[191] 打开道具一览页面
[192] ○各道具说明、图示详见 →道具一览 ○各装备说明、图示详见 →装备一览
[193] 道具名称
[194] 面板类型(效果)
[195] 占用格子数量
[196] 兑换资金价值
[197] 可开辟基底格子数
[198] 备注
[199] 情欲吐司
[200] 爱心面板（产出经验）
[201] 1~2格
[202] 3格
[203] 浓情欲吐司
[204] 3~4格
[205] 6格
[206] 极致情欲吐司
[207] 4~5格
[208] 11格
[209] 坚韧盖子
[210] 体力+10
[211] 4~5格
[212] 3格
[213] 兔子暖锅
[214] 体力+20
[215] 3~4格
[216] 4格
[217] 欢闹暖锅
[218] 体力+35
[219] 2~3格
[220] 5格
[221] 耐性宝冠
[222] 体力+60
[223] 1~3格
[224] 6格
[225] 木雕小熊
[226] 攻击力+4
[227] 4~5格
[228] 3格
[229] 钢铁小熊
[230] 攻击力+9
[231] 3~4格
[232] 4格
[233] 纯金小熊
[234] 攻击力+20
[235] 2~3格
[236] 5格
[237] 守护海藻球
[238] 防御力+3
[239] 3~4格
[240] 4格
[241] 魔法番茄
[242] 魔法力+4
[243] 4格
[244] 3格
[245] 多魔大葱
[246] 魔法力+9
[247] 3~4格
[248] 4格
[249] 魔力人参
[250] 魔法力+20
[251] 2~3格
[252] 5格
[253] 魔封骏马
[254] 魔法抵抗力+3
[255] 3~4格
[256] 4格
[257] 军费高级飞鸟
[258] 空白面板
[259] 1格
[260] 4格
[261] 资金兑换专用道具
[262] 套娃小鹿
[263] 1格
[264] 9格
[265] 开辟基底专用道具
[266] 柜台模型
[267] 1格
[268] 15格
[269] 空白恶魔
[270] 1~2格
[271] 2格
[272] 空白面板
[273] 破坏彗星
[274] 1格
[275] 2格
[276] 落在场上空白面板上，摧毁空白面板并转化为爱心面板（随机转化1~5处），单处爱心×5经验
[277] 全能解析破坏彗星
[278] 1格
[279] 2格
[280] 落在场上空白面板上，摧毁空白面板并转化为除爱心外五种属性面板之一（随机转化1~5处），固定转化为自身持有量最少的强化属性，单处对应属性+10
[281] 逆袭破坏彗星
[282] 1格
[283] 2格
[284] 落在场上空白面板上，摧毁空白面板并转化为心动硬币面板（随机转化1~5处），单处D2P+5
[285] 消击球
[286] 1格
[287] 6格
[288] 无需铺满整行即可主动消除任意一行，该行强化点数收益翻倍；道具本身数量不翻倍
[289] 经验药水
[290] 2~3格
[291] 5格
[292] 使用后玩家经验值+20%，单次获取上限1000经验
[293] 森之石松
[294] 2格
[295] 6格
[296] 使用后玩家经验值+50%，单次获取上限2500经验
[297] 小型清扫机
[298] 4格
[299] 4格
[300] 装备道具
[301] 长发招财猫
[302] 5格
[303] 4格
[304] 连击之谜
[305] 4格
[306] 5格
[307] 闪电急先锋
[308] 5格
[309] 4格
[310] 超级跑车
[311] 4格
[312] 5格
[313] 一打贝贝塔
[314] 3格
[315] 3格
[316] 火箭引擎
[317] 3格
[318] 6格
[319] 喋喋猛虎
[320] 5格
[321] 4格
[322] 冲击腰带
[323] 3格
[324] 6格
[325] 斗志十姐妹
[326] 5格
[327] 4格
[328] 超级钻头
[329] 3格
[330] 6格
[331] 闪光板栗
[332] 4格
[333] 4格
[334] 仁王纳豆
[335] 5格
[336] 4格
[337] 束缚龟甲
[338] 5格
[339] 4格
[340] 细菌兵器
[341] 5格
[342] 4格
[343] 眩晕帽
[344] 4格
[345] 4格
[346] 重型硬汉
[347] 3格
[348] 5格
[349] 3格
[350] 3格
[351] 爱欲之魂
[352] 4格
[353] 9格
[354] 四转神猴
[355] 2~4格
[356] 4格
[357] 也会作为面板自动生成
[358] 重置挂饰
[359] 1~2格
[360] 5格
[361] 连锁口香糖
[362] 神魂虫
[363] 1~3格
[364] 9格
[365] 觉醒小木
[366] 1~2格
[367] 9格
[368] 必杀觉醒木
[369] 1~2格
[370] 9格
[371] 固有觉醒木
[372] 1~2格
[373] 9格
[374] 强健掉落道具
[375] 无面板形态
[376] 不可兑换资金
[377] 不可开辟基底
[378] 省时券
[379] 也会作为面板自动生成
[380] 蝶矿石
[381] 绽放花蕾
[382] 资金
[383] 道具名称：滋滋硬币，单次最多获取50枚
[384] 元气原液
[385] 也会产出高浓度、超纯原液
[386] 宝船
[387] 使用后直接获得7个宝箱
[388] 打开面板一览页面
[389] 道具名称
[390] 面板图示
[391] 备注
[392] 情欲吐司
[393] 浓情欲吐司
[394] 极致情欲吐司
[395] 坚韧盖子
[396] 兔子暖锅
[397] 欢闹暖锅
[398] 耐性宝冠
[399] 木雕小熊
[400] 钢铁小熊
[401] 纯金小熊
[402] 守护海藻球
[403] 魔法番茄
[404] 多魔大葱
[405] 魔力人参
[406] 魔封骏马
[407] 军费高级飞鸟
[408] 套娃小鹿
[409] 柜台模型
[410] 空白恶魔
[411] 方块小游戏通关技巧 †
[412] 基础思路 †
[413] 和传统俄罗斯方块的区别 †
[414] 传统俄罗斯方块方块从上落下，容易形成封闭空格难以消除；本游戏可手动拖拽摆放面板，能灵活调整补救。但面板形状、格子数不匹配时依旧无法摆放，形状贴合才能最优操作。游戏内面板种类繁多，很难刷到刚好适配的形状，无下一块预览、暂存方块功能，摆放效果很大程度依赖运气。「开辟基底」「兑换资金」是快速清理无用面板的关键手段，不必强行摆放异形面板导致盘面堆积。面板大多为1~3格小型方块，摆放时优先利用这点规划布局。
[415] 保留最右侧一行空位 †
[416] 最右侧一行不会自动生成心动硬币面板，因此常规思路是铺满其余列、预留右侧空位，刷出长条面板时一次性消除多行，是手动开宝箱通用标准打法。尤其是3列、4列同步消除奖励丰厚，心动硬币产出差距明显。
[417] 尽早预留空余基底格子 †
[418] 一心追求多行列消除时，经常会因面板运气差导致基底全部占满。此时一味留存面板等待长条、持续兑换资金只会本末倒置。盘面快要堆满时，哪怕仅消除单行，也要主动清空一行腾出摆放空间。
[419] 优先消除带有爱心面板的行 †
[420] 一旦触发超时强制消除，爱心面板的倍率加成直接失效；举例：一行基础消除值20、内含3个爱心面板，手动消除可得60经验，强制消除仅能拿到3经验，亏损极大，必须规避。
[421] 优先消除带有道具面板的行 †
[422] 若带稀有道具的行被超时强制消除，该行道具直接消失。因此绽放花蕾、蝶矿石等高价值道具所在行必须优先消除，不要心存侥幸。
[423] 无爱心、道具面板的行，即便被强制消除损失也较小 †
[424] 仅含普通强化属性面板的行，强制消除与手动消除的点数收益完全一致。可以刻意预留一整行纯普通面板作为「废弃行」，用来拖延倒计时，趁这段时间调整其他主力行的布局。注意：废弃行消除后不会新增基底格子。
[425] 【重要提醒】※超时强制消除不计入任务「消除XX行」计数，无法领取蝶矿石任务奖励；同时不计入累计消除行数，会减少宝箱获取量。
[426] 基底格子数量管理/哪些道具适合转化基底 †
[427] 无空余基底格子就无法摆放面板，因此基底道具优先使用。但大量基底道具一次性使用会造成格子过剩、资源浪费；维持空余1~1.5行基底格子是最优状态。解锁副装备槽需要均衡大量各类强化点数，几乎不存在某种属性点数溢出的情况；其中防御力、魔法抵抗力最容易短缺，这类面板建议优先摆放。尽量均衡积攒各类属性，避免数值差距过大。界面顶部可自由开关强化点数持有量显示，点击数值右下角上下箭头切换显示。
[428] 除去经验值，各类强化点数推荐持有比例：体力8 : 攻击力、魔法力2 : 防御力、魔法抵抗力1。前期经验值缺口大，后期会大量溢出；后期爱心面板可全部转化基底。魔法力面板需求角色仅物理角色三分之一，极易囤积，积攒足量后仅保留魔力人参摆放即可。但解锁副装备槽时，魔法力需求总量和攻击力持平，这点需要留意。
[429] 参考案例：角色80级升至90级所需强化点数（物理输出64人、魔法输出20人）：经验236587、体力56020、攻击力6507、防御力7318、魔法力2510、魔法抵抗力7462
[430] 空白面板处理技巧 †
[431] 空白恶魔等空白面板，搭配破坏彗星可转化为爱心面板，一次性获取大量经验；全能解析彗星可转化为其余属性面板；逆袭彗星可转化为心动硬币面板，单次最多转化5处空白面板。同时有任务：累计使用彗星转化20块空白面板，即可领取1份爱欲之魂（+5好感度）。好感度是获取觉醒点数的渠道之一；基底格子充足时，不建议把空白面板直接兑换资金或开辟基底。空白面板也可用来填补盘面缝隙；若各类强化点数完全充足，可优先摆放空白面板填充盘面。
[432] 进阶操作思路 †
[433] 不必执着边缘空位 †
[434] 预留最右侧一整行是通用打法，但追求灵活应对可错开1~2列预留空位，方便处理带单格凸起的3格、4格长条面板。
[435] 留存消击球等待高收益时机 †
[436] 开出消击球后，消除该行强化点数直接翻倍。建议提前预留铺满大量爱心面板的行，刷到消击球时收益再次翻倍；彗星转化的爱心面板单块经验是普通5倍，搭配消击球收益极高。但消击球本身掉落概率不高。
[437] 同种道具分情况决定是否转化基底 †
[438] 同种道具总属性数值存在差异，以魔封骏马举例，总属性有6点、9点两种。基底格子不足时，总数值6点的优先转化基底，9点的直接摆放，灵活取舍。
[439] 空位开辟技巧 †
[440] 不要单独留下孤立1格空位，斜向预留1格空位，能适配更多形状的面板摆放。预留斜向空位可应对更多方块形状。
[441] 其他补充
[442] 经验药水与森之石松说明 †
[443] 曾经玩家等级存在上限，达到上限后经验道具无法使用、也无法留存。如今等级上限已移除，不会再出现只能转化基底或变卖的窘境。玩家等级提升后，主线副本获取经验效率大幅下降，想要快速提升玩家等级基本只能依靠经验道具。
[444] 限时活动任务说明 †
[445] 游戏每月会开启一轮限时活动任务（不定期；主线更新、讨伐战开启后极易同步上线）。任务常见要求：一次性消除4行、累计多次消除3行及以上。
[446] 无氪玩家基本都能完成，但若想稳定完成方块消除任务，建议留存宝箱不要急着开启；活动结束前留存重置挂饰、强健掉落道具备用。
[447] 评论留言板
[448] 把道具兑换资金时的台词「拿去变现咯」总脑补成「关起来咯」——玩家MG.edpIT3J. 2022-06-25
[449] 只有防御、魔防点数不够，其他属性全都严重溢出，希望官方上调蓝色、绿色方块的点数产出——玩家4Zv7FVmTl9o 2022-07-06
[450] 终于等到这类优化更新了，如果早有这功能我早就回坑，希望官方加大宣传力度，感谢分享攻略——玩家mdX1KKOcOT. 2022-08-19
[451] 数值平衡做得太差了——玩家PdQD1JfIuFk 2022-10-04
[452] 很高兴这份攻略能帮到你，不用客气！——玩家4dGS04v09PM 2022-10-10
[453] 感谢指正，很抱歉给你带来不好的体验。我查阅了留言板规则，没找到我违规的条目，我发布这份攻略完全没有盈利目的。——玩家4dGS04v09PM 2022-10-10
[454] 违规条目：宣传、诋毁其他网站/软件。举例：所有人都只引流外部网站，页面观感会很差。——玩家Ih7ECnMD/Ro 2022-10-10
[455] 感谢解答，我理解规则是外部平台（推特、油管、图床等）链接末尾加空格即可发布，所以以为油管引流是允许的。——玩家4dGS04v09PM 2022-10-10
[456] 非常抱歉，我已经把相关视频设为私密了——玩家4dGS04v09PM 2022-10-11
[457] 时户佐田从来都不看游戏公告——玩家JnY2DkeYQxs 2022-11-03
[458] 魔防数值右侧有箭头遮挡，但我们本来就要留右侧空位，影响不大。有需求直接提交反馈，顺便记得看公告。——玩家Mmx1cFUMuk6 2022-11-03
[459] 翻官方推特维护公告就能查到，当天就实装了——玩家ULxap4yBevc 2022-11-04
[460] 第二部新开放13、14区域，14-8宝箱产出最高，使用强健掉落单次15个——玩家R6cJg1Yh4yM 2022-11-15
[461] 刚发现自动开宝箱功能，简单说下心得：①空白恶魔、情欲吐司、攻防顶级面板全部自动摆放，1格小型面板优先级极高；②无法开辟基底时会自动变卖，无用道具直接设为转化基底即可；③自动摆放不会旋转面板，大块面板容易堆积堆满界面；盘面堆满后无法摆放的面板会全部自动变卖，存在亏损风险。不知道后续会不会出更完善的自动配置模板……——玩家RAUAphZNkWI 2022-12-18
[462] 文章后半段写过相关内容——玩家PGI6sOASZ5Y 2023-01-14
[463] 这份维基更像参考工具书，不是官方说明书，纯看文字很难理解，结合游戏实操再看更容易看懂。——玩家eQFj4eNrbM6 2023-03-25
[464] 我个人统计的数据表格链接放在这里——玩家mLOtvNLLh. 2023-05-11
[465] 多行列消除、消击球双倍加成只对强化点数生效，经验之外的属性点数都能翻倍。底部废弃行反而适合摆放经验面板，收益更高。——玩家1YDyXzzQMVk 2023-06-17
[466] 按统计平均41箱产出1矿石，体力减半活动下，自然回体刷取基本收支平衡；叠加矿石掉落+50%活动还能小幅盈余。——玩家d4bK8.gNrSo 2023-11-04
[467] 是我没完整核对更新内容，官方公告没有单独说明这条改动，我也没统计过往产出比例，只能按当前版本为准。——玩家pae4wbP9nhw 2024-01-27
[468] 平时玩法还好，但倒计时只剩10次还刷不出想要的面板，道具直接消失的时候真的很恼火。——玩家l3hCzwMr2xw 2024-06-24
[469] 这段内容是2020年11月开服初期编写的，部分机制和当前版本不符可以自行编辑修改。但开服前期经验、点数都紧缺，完全不算错误内容，需要结合自身养成阶段判断。——玩家xl8ZQ0mFh2E 2025-05-16
[470] 相关机制也写在主线副本宝箱刷取页面，可以互相跳转参考。——玩家127gdT2bLSg 2025-05-26
[471] 问答板块反馈：自动摆放上线前原文写的「自动消除」容易和新版本「自动摆放触发消除」混淆，现已统一将原文超时消除修改标注为「（倒计时耗尽）强制消除」。——玩家0q/0DmkRid2 2025-08-10
