[694] くあぁ……深夜アニメリアタイしてて、寝不足……。
[766] おみくじを引きましょう！えいえい♪
[767] はっ！？これが伝説のお年玉！？
[768] じゃっじゃじゃーん！死神のストナだよ、とりあえず、アドレス交換しよ
[769] うぅ…見つかっちゃった、完全に姿を消せると便利なのにな
[770] うちに用事？いいよ、このままカフェにでも行こうか、あ、変身したままだった
[771] ダイビートの基地って映えるところがいっぱいあるよねー、ねぇ、少しくらいなら撮ってもいいでしょ、お願い！
[772] なになに？どっか行く？わらび餅アイスコーヒーとか次にきそうじゃない？
[773] おっ、一緒にどっか行く？え、お仕事？そんなの、うちは関係ないし～
[774] あは、一緒に写真撮ろうよ、映える場所見つけたんだ～4時間ほどかかるけど、平気だよね
[775] うん？もしかして、シタいのかな？安全日か危険日かは覚えてないけど、ヤリたいときがシたいときっていうしね～
[776] 食品サンプルっていうの？アレ、日本独特で面白いよね～映えそうなんだけど、アレ100均で売ってる？
[777] ダイビートのこと報告したいんだけど、何を調べていいか分からないや、隊員のおっぱいサイズとかでいいかな？
[778] はーい、呼んだ？昨日のテレビ見た？面白かったねー、ストナは見てないけど、アハハ！
[779] なになに？面白い動画？とりあえず、いいね！押しておけば何でもいいよね
[780] いまちょっと手が離せないからメッセ送っておいて、後で読むから
[781] いいよ、お話ししようか、あ、スマホいじってるけど気にしないでね
[782] うん？どうかしたの？能力を使っていないから触れるよ？それとも、触りたかった？あはっ！
[783] どしたの？うちに用事？あ、わかっちゃった～ヤリたいんでしょ？えへへ、いいけど～
[784] ひゃっ、も、もう触るなら言ってよね～心の用意と自撮りする準備をしないとダメなんだから
[785] あれ、誰もいない？もうストちゃんを放置だなんて許さないから！とりあえず、メッセ送ってみよっと
[786] うわ、スマホの容量ヤバいかも！これっていっぱいになったらどうなるの？爆発とかしないよね！？
[787] ううっ、体動かない…あれ、これ、マジ…少し、ヤバめ？
[788] ストナちゃんの出番！
[789] わーい！うちも混ざる～
[790] あはっ、勝っちゃったぽいね～
[791] やったー記念に写真撮ろう？
[792] 派手目に行くよーデスストーム！
[793] きゃっ
[794] いたー！
[795] 痛いってば―！！
[796] ううっ、ストナちゃんショック…
[797] クソが…近づくんじゃ…え、ひぃぃぃ…
[798] ま、貰っとくよ。
[799] 一応、感謝しとくよ。
[800] んやぁぁ、は、あ……！
[801] あ、貴方の……熱い……はぁっ！
[802] こんなの、溶けて、しまう……ふああ！！
[803] ダルさん、お仕事だって。
[804] 貴方達の敗北は、惨めなものね。
[805] 御免なさい。でも、私だって死にたくないの。
[806] 静かに、して！（シズカ にして！）
[807] みんなお眠りなさい――御神渡り・水鏡！
[808] 私も……凍るのね。
[809] 想破上弦衆、火のゴウカ、ここに参上！難儀な忍務みたいだねぇ…けど、確かに承ったよ！
[810] 想破上弦衆がついているんだから、大船に乗ったつもりでいなさい。
[811] 私に用事？んは…そう硬くならなくても良いって…ほーら、肩の力を抜いた抜いた。
[812] 忍務の話かい？ん？違う？んは…もちろん忍務外の話でもいいよ。
[813] 何だい？相手して欲しいのかい？仕方ないねぇ～ほ～ら、よしよし…ん？何か…不満そうな顔だね…んふふふふ
[814] この格好だと、どうしても気合が入るねぇ～。え？言葉も粗い？そ、それは…立場とか、いろいろあるからよ！！
[815] 廊下ですれ違った新人が、私を避けたぁ～…そんなに厳めしいかな…ああ～ショックゥ～…誰か慰めてくれないかなぁ～
[816] お疲れさま…んふふふふ、頑張ってるわね！先生が花丸をあげましょう！良くて来ましたぁ～
[817] 質問は手を挙げて…っと、講義中じゃなかったわね…あは、いけない、いけない…それで、話って何かしら？
[818] どうかしたのかしら？ええ、お姉さんに任せなさい！
[819] 呼んだかしら？わからない事があったら、先生になんでも聞いてね…
[820] ねぇ…？今夜、空いてるかしら？良いお酒が手に入ったのよね…なぜか君と二人で飲みたいって思っちゃったの…
[821] 君は古典に興味あるかなぁ？あるなら手取り足取り教えてあげるわよ。うふふふ、育てるって良いわね！
[822] あぁん……ああ、ああ、あっ流石、頭領……！！
[823] ああん、うっ、うんん、うっ……こ、これは……強烈、ぅ……！んあ…ああ！ふあああぁ！？
[824] っ、アアアンンンン！！イッ、イックウウウウウウウウ！！！
[825] たとえ敗北に塗れようと…想破としての矜持…だけは…
[826] ゴミの焼却完了！うーんさっぱりした。
[827] はい、終わり。今日も美味しいお酒が吞めそうね。
[828] 我が皇帝の力が必要か？――よかろう。これも支配者の義務というものだ。
[829] あぁあ…！？
[830] こ、これが？あっく、はぁ……！
[831] これは……あっ、んん！？あうぅ！癖になる、うんん！んぅうんんん！？
[832] 我が気高き心　折れると思うなよ。
[833] 人を惑わす魔なる者…夏の盛りでも決して私は見逃しはしません！神騎エクシール、ここに顕現です！
[834] 寒そうに見えますけど、変身している状態なので平気なんです。
[835] この格好は少し…いえ、かなり落ち着かないですね…
[836] いやあん、い…今のはすごく魔王的です！いけません！
[837] 海や川、水辺のパトロールなら任せてください。それ以外は…考えさせてください…
[838] 私、水に浮くのが好きなんです。天界では水遊びなんてしたことがありませんから…あっ、前にもこんな話、したことがあります。
[839] この格好だと、トキサダはいつもより魔王的な顔になりますね。
[840] また魔王的な部分が出てきていますね…ん、たまにならいいですよ…
[841] 実は競泳水着のタイプも選べたんですが、こっちにしました。ちっ違います！！別に見せたいわけじゃありません！
[842] 海の家のラーメンが美味しいというのは雰囲気だけの話だったんですねぇ～…あっ！でも焼きとうもろこしは別格でした。
[843] あっあっあぁ～んダメ…んああああぁああぁぁぁぁ
[844] あっあぁ～力が溢れて…
[845] あっあっ～あぁぁぁ～す…凄い力…です…
[846] 私が…力不足だったために…
[847] 煉獄はこの国の夏より過酷ですよ。
[848] 滅します！
[849] 感じ取れ！スイカの気配！オーシャン・ディバイダー！！
[850] あっありがとうございます。嬉しいです。
[851] え？いいんですか！？ありがとうございます。
[852] こ、これが男の人の……ああっ！ふあぁあぁあああ！？
[853] （ジュルルッ！ジュルルル！チュチ！チュッチュウウッ！）…ぷぁっ。これで、如何ですか……？
[854] ああ、ああっあああん！駄目ぇ！おかしく、なっちゃううう！？
[855] 容赦はしませんよ。
[856] 必勝の策が有ります。
[857] 当然の結果です。
[858] 読みやすい戦場でしたね。
[859] そこぉ！
[860] はぁっ！
[861] 攻め時です。
[862] 今です！
[863] いざ、進撃の時！ラスアルグ・ウォークライ！
[864] ん、んん、んっ、んぁああ！乳首ぃ…もっと吸ってぇ……。
[865] これ……気持ち、いい？ふふふっ、嬉しいなあ。
[866] そんなに、おっぱい揉まれたら……ミルク、出ちゃうよぉ！
[867] これでぇ！
[868] もー許さないぞぉー！[アルデバラン・デストラクション』！
[869] はぅ！？
[870] やったなぁ！？
[871] もう……限、界……。
[872] 超昂戦士…我、神騎エクシール。罪に汚れし悪の尖兵は神に代わりて誅滅します！
[873] 私の聖鎧のデザイン、変わってますよね？元いた世界の魔王の影響なんです。
[874] 神騎エクシール、神武ソルクラウンとともに、いつでも出撃準備万端です。
[875] ダイビートには、たくさんの仲間がいて心強いですね
[876] あぁん…英雄色を好むとはいえ、あまり魔王的な視線で、女体を眺めるものではないですよ？
[877] ふぁぁあんん…眠くなっちゃいますよぉ…ふぁ…んん…
[878] 神騎の服は聖鎧（せいがい）、武器は神武（しんぶ）と言います。私の神武は剣で、名をソルクラウンというんですよ？
[879] これは人類の未来を守り戦いです。ともに戦い、勝利しましょう！
[880] 人類が未来を取り戻す戦い…及ばずながら力になります！
[881] お疲れ様です、トキサダ。制服を着ると身が引き締まりますね。
[882] はぁ（喜）…この基地が素晴らしいですね！毎日、美味しいごはんが食べられるんですから！
[883] どうしたんですか？もう（寂）…一人は嫌なのに…
[884] トキサダ！どこに行ったんですかぁ？このまま放置されては、お腹が空いてしまいますよぉぉ…
[885] ああ……ぅ。力が、漲ります。
[886] ああん……優しくて、強い……。
[887] あうっ！ふあああああん！？
[888] くぅ…！敵にこんな、辱めを…！！
[889] 皆さんは、この私が守ります！
[890] 神騎エクシール、参戦します！
[891] 煉獄で眠りなさい。
[892] 鎮圧、完了です。
[893] これです！
[894] ええいっ！
[895] やあ！
[896] 行きますよぉ！
[897] 征魔の力よ！
[898] 神撃します――『
[899] 暁の執行者
[900] ドーンパニッシャー
[901] あぁん！？
[902] ぁあっ！？
[903] くうう！？
[904] こんな素晴らしい物を…ありがとうございます！
[905] 素敵…嬉しいです！
[906] 崇高なる天使長、アズエル様の御命令により神騎カペラ降臨したわ！
[907] 私は虫けら達を愛しているの。傷付けるなら許さないわ！
[908] ふぅ……翼を出せるのは気持ち良い！
[909] 虫けらたちの戦い、このカペラ様が手助けしてあげる！
[910] 出撃はまだ？準備出来てるんだけど。
[911] この私を待機させるなんて、見る目が無いわよ！
[912] 暇だなぁ～。漫画読んでていい？
[913] ちょっとぉ、止めなさい！
[914] もう、くすぐったいじゃない。
[915] 偉大なる神騎に触れたいのは解るけど、我慢なさい。
[916] 気安く触れないで。救いならあげるから。
[917] うぅ～ん、うぅ～～ん……ほったらかすなら出掛けちゃうから！
[918] 退屈だわー！た・い・く・つぅ！
[919] ひっ！？……う、うん。別に、嫌じゃないわよ？
[920] なんだか……変な、気持ち。あの……あのね？っ……もっと、して？
[921] ひゃっ！？ん、んぅ！もぉお、エッチなんだからぁ！？
[922] えっ、え？嘘…。
[923] 偉大なるカペラ様に任せなさい！
[924] ね！虫けらを救うって言ったでしょ？
[925] 喰らいなさい！
[926] 私の鞭裁き、華麗でしょ！？
[927] 神騎の力、見せてあげる！
[928] アズエル様直伝おせっかん！
[929] 無礼者ぉ！
[930] んん！あっんん、んぅう！！いいよ。もっと、いじってぇ…。
[931] これで……もっと疾く。
[932] んん、あぁ、んん……。もう、また足ばっかり触ってぇ……。
[933] んん、ふああぁあ……ダメ！ダメダメぇ！？ふぁあああうう！？
[934] 止められないぃ……ふぇええ……腰動かすの、んぅ！？止められないっすぅ！
[935] はあぅううぅ……。頭ぁ、クラクラするっすぅ……。
[936] 最初からトップスピードでいくっすよー！
[937] あたしが道を作るから安心してついてきて。神騎ステアール、レッドゾーンまで突っ走るわよ！
[938] ここから先は通行止めよ
[939] これが閂市でしか使えない必殺技、掟破りの地元走りよ！
[940] 知ってる？ 世界って思っているより広いのよ
[941] あたしがラリーレースで戦えたのって、もしかして神騎の力があったからなのかしら？
[942] あたしに任せて、道なき道を進むなら、慣れたものよ
[943] 平和になったら好きな人と結ばれて…きゃっ、子供は５人欲しいわ～
[944] トキサダ君、あたしを引き離せると思わないでね、ふふっ
[945] まさか、トキサダ君が逃げた！？もう少しだけ待って、ダメなら探しに行くわ
[946] 走りっぱなしは壊れちゃうわよね、車もそうだもの
[947] どうしたの、何か質問かしら？運転教官でもあるんだから、車の事なら何でも聞いてね
[948] 運転ルールは必ず守りなさい
[949] あぁ…トキサダくん、今日も格好いいわ
[950] おはよう、さぁ今日もやっていくわよ
[951] 少女漫画みたいな素敵な恋、今あたしすっごく幸せだわ！
[952] はぁ～…また友達から結婚式の招待状が届いたわ。あたしの番はいつになるのかしら…ﾁﾗｯﾁﾗｯ
[953] ふふっ、教習所の教官だった時間は長くはないけど、可愛い教え子たちの顔はみんなちゃんと覚えているわ
[954] あら、トキサダ君がいないわ。ドライブにでも行ったのかしら？
[955] 疲れているのならしっかり休んで。あたしが癒してあげる
[956] もっと早くなるのが分かるわ
[957] あ～ん、オーバーヒートしちゃいそう
[958] ああっ、こ、来ないで！あなたたちはあの人じゃない…いや、いやあああぁぁぁっ！！
[959] レーススタートね
[960] ホーリーアムド・ヴァルキュリエ、ステアール！
[961] 疲れた子はピットインして、あたしが出るわ
[962] 教官が交通ルールを教えてあげるわ
[963] あの人とのゴールにまた近づいたわね！
[964] 交通ルールを守って楽しくドライブ
[965] ファーストギア！
[966] セカンドギア！
[967] サードギア！
[968] いたぁ！
[969] きゃひぃっ！
[970] くひぃっ！
[971] くうっ、もうガソリン切れだなんて
[972] 私は……気持ちよく、ならな――って！？はぁん！あっ！？
[973] はぁ、あ、う…くぅう！？そこはっ……駄目っ……！
[974] はぁっ！あっ！？ふああ！！？こんなの、初め、て…・・！
[975] 皆で築いた勝利です！
[976] でやぁー！
[977] これしき！
[978] そん、な…
[979] 神騎ディアロール、ただいまより参画致します。みなさんの心を守るのが私の務め。よろしく、よろしくお願いしますね
[980] 準備は万端です、いつでもどうぞ
[981] 白衣より少窮屈ですが、お尻、ちょっとは小さく見えますか？
[982] 神武は意のままに動いてくれますが、これも生物…ではないですよね、メンタルケアはいるのかどうか…
[983] ～…っ、いけないいけない、神武で寝るのは気持ち良すぎて、深く寝ちゃうのがよくないですね
[984] おっと、いけないいけない、つい神武で引き寄せてしまいました。あなたを見かけてしまったので、つい
[985] うーん、羽がもう少し大きければ、あなたを捕まえて遊べたんですが
[986] もしかして、こちらの方が好みで？ それでしたら、今夜はこの姿でしますか？
[987] もしかして、眠くなってはいませんか？ 睡眠サイクルを維持しつつ、無理のない範囲で起きてくださいね
[988] お眠りになられたのですね、子守歌は…歌に自信はありませんし、止めておきましょうか
[989] どうか、どうかなさいましたか？ ご相談があればいつでも
[990] ふふっ、触りたい、触りたいのですね。では、どうぞ、遠慮せず
[991] 人に触れることはストレス解消になりますから、だから、さぁ、どうぞ
[992] 今後はあなたのセラピーにわたしを撫でる時間も追加しますか？ ふっ、本当にそうしてもいいですよ
[993] どうぞ、どうぞ、撫でてください
[994] あなたに触れられると私のストレスも発散されますから…だから、もっとどうぞ
[995] できれば、頭も撫でてください。甘えさせてくださいね
[996] お疲れですか？ お休みになられてはいかがでしょう
[997] 作業の合間には体を動かしましょう。血流を良くするのは心身ともに大事な事ですよ
[998] もっと、多くの人を守れますね
[999] あんっ…これは癖になりそうです
[1000] ああっ！もっと、もっと、私の中に注いで…！
[1001] そんな！みなさん、退避、退避を！
[1002] 診療を開始します
[1003] ホーリーアムド・ヴァルキュリエ・ディアロール
[1004] お任せを
[1005] わたしがあなたを守ります
[1006] みなさん、お疲れ様です。
[1007] あなたの心を守れましたか？
[1008] ふっ！
[1009] やぁっ！
[1010] まだまだ
[1011] くっ
[1012] やぁぁ！
[1013] 私が、医者が倒れるわけに…
[1014] ん、ああ。いい！んぁっ、イイ！！ぁあ、もっと！もっときて、長官さぁん！！
[1015] ん、あっ！そんなに吸ったら……頭、真っ白になっちゃう。
[1016] あっ、ん、んん……そこ……触っちゃ、駄目ぇ……。
[1017] ホーリーアムド！ヴァルキュリエデュエル！
[1018] しゃあ！バトル開始だ！
[1019] まだまだやるぜ！
[1020] くらいな！
[1021] これでどうだ！
[1022] これが、私の切り札だ！
[1023] 『≪蒼銀の結晶竜≫、召喚』！
[1024] この屈辱、忘れねえ……！
[1025] はぁん！？もっと……！もっと激しくぅ……！！
[1026] 腰がぁ！？んっ！腰が勝手に動いてしまいますのぉ！
[1027] んっ、あっ！はぁっ！？お、オナニーと、全然違います……。
[1028] 神騎フローレル、いざ出陣ですわ！
[1029] 舞台の幕は上がりましたわ！
[1030] これにて、閉幕！
[1031] 物語は、ハッピーエンドで。
[1032] ここです！
[1033] 嵐の如き剣戟を！『エッジテンペスト』！
[1034] ダメぇ！
[1035] んぁ！
[1036] んはぁ！？はぁ……はあ……！君のが……流れ込ん、でぇ――！？
[1037] あぁ！もうこれ以上はぁ！ああんもう、駄目ぇえぇええ！？
[1038] んっ！痛ぁい……。けど、気持ち良ぃい……！
[1039] はぁ……ぁ、長官に、抱かれると……五感が、どんどん鋭くなる……。
[1040] んっ！あっ！？うぅ！っ……もっと、んぅっ！もっと！激しくぅ、んぅう！ああ！！
[1041] あぁ、あっああ…はぁん！？あっ、はぁ、う……長官の、精液、ぃ……いい臭いだぁ、あぁっ。
[1042] 勝ったのはお前だ…この体、好きにしろ！
[1043] なんでチンチンっておっきくなるんだろう？あぁ！挿れるためかｗ（ゲス笑み）
[1044] ナースの手コキでドピュっちゃってください。
[1045] 私のココに、ぶっといお注射してください。
[1046] ぜんぶぅ、全部注いでぇ！あっあああ！？
[1047] そぉーれ♡
[1048] あっ……！魔力で、強く……！？
[1049] あぁっ！だ、駄目だって！んんっ……あ！ん！はぁう！？
[1050] ああっ！？はっ、あっ、あっ、ひゃあああん！？
[1051] 勝ったの！？良かったぁ！
[1052] 墜ちて！
[1053] えいやぁ！
[1054] 選定の矢よ、貫きなさい！『キューピッド・アロー！』
[1055] うぅぅう、み、見つかった……み、見ないでよ、こんなこもり。見るなぁ！うぅぅ。
[1056] んにゃあ！ななな、何、なんで触ったの？うぅ、変態変態。
[1057] にゃあにゃあ。にゃんここもりです。にゃああ。
[1058] うぅぅぅ。あ、あんまり見ないでよね。長官のえ、えっち。
[1059] くっそー。そうやってこもりを笑いものにして、みんなで楽しんでるんだ。いじめっ子ばっかりだよ。
[1060] ぼーっとしてるし、長官の膝の上座っちゃえ。へへ、長官あったかい。ふふ。
[1061] 長官、いつもありがとう。本当は結構感謝してるんだよ。能力使ってるから聞こえないだろうけど。ひひ。
[1062] 子供すやすや眠る聖なる夜を、守るは聖人、我、サンタさんなり！なぁ～んて…うふん…どうでしょうか？
[1063] あら？プレゼントが欲しいんですか？悪い子にはあげられませんが…トキサダ様なら大丈夫ですね！うふん
[1064] この格好で龍輪功を…で…す…か？？はい、かしこまりました…良きときに、いつでもおっしゃってください…
[1065] いつも頑張ってるトキサダ様にもプレゼントを何か差し上げたいです。考えておきますね！
[1066] あ…あんまりジロジロと見られると…あん…ちょっと困ってしまいます…もう…トキサダ様の意地悪…
[1067] トキサダ様も良い子にしてたら、きっと今夜サンタが現れますよ。うふ…なんちゃって♪
[1068] ハルカサンタ、ここに見参！あっ、すみません。名乗りの練習をしておりました。
[1069] この服、気になりますか？うふ…とても可愛いらしくて私もお気に入りなんです。
[1070] くるん！くるん！くる～～ん！うふん…やっぱりこの服可愛い…何度も鏡で見ちゃいます。
[1071] ジングルベル♪ジングルベル♪ふふふふ～ん♪あっ！すっすみません…浮かれてました（汗）…
[1072] これでもっとプレゼントが配れる……！
[1073] んん…いやぁ！？あああぁあん！！？
[1074] っ！んん、ダメ……！そんなところ触っちゃ…あぁん！
[1075] あぁ…そんな…ここまで…なの…
[1076] メリークリスマス！
[1077] ハルカサンタ、見参！
[1078] 聖なる夜に祝福を…
[1079] みんなよい子よい子♪
[1080] ここはこれです！
[1081] でやぁあ！
[1082] えぇえい！
[1083] 聖夜を穿て！『聖・四門五月雨』！
[1084] 私がプレゼントを貰うんじゃ…ふふ…あべこべですね…
[1085] こんな素敵な物を…大事にします！
[1086] きゃあん！いやぁああぁああああぁ！！
[1087] にゃっ！？ああぁあああん！！
[1088] んんぅ！？頭領、そんなところ見ないでぇ…！
[1089] 正義満開！悪の栄える日は来ない！
[1090] ちょいや！
[1091] んっ、くうううう！？
[1092] これで、もっと斬れる……！
[1093] ああっ、うぅ！ふあああぁあああぁ！？
[1094] 私は血の切裂余命だ！
[1095] 装身、久世天衣霧縫！
[1096] もっと斬りたかったのになあ。
[1097] （聞き取れず）閻魔様に伝えてくれ。
[1098] もっとだ！
[1099] ウッフフゥ…！
[1100] ふふ…。
[1101] -(常時発動型のため無し）
[1102] ――、斬る斬る斬る斬る斬る斬るきる切るキルKILL！！！
[1103] あーっははははははは！
[1104] ぐぅ！
[1105] これは斬っても良いものか？
[1106] ありがとう
[1107] はぁっ、あっ、まだまだ、行くよぉ…！あっ…ああん…！
[1108] ああ！んっんんあああ！っ、もっと、ぉ！強くぅ、ううう！
[1109] 私を壊して……んん……っああ……感じさせてぇ……っ！
[1110] ふん。
[1111] どう。
[1112] 壊れてしまいな！
[1113] さあ大暴れだ、痛みを教えてくれ！
[1114] まあまあだな。
[1115] 閃忍ウミ到着でーす。悪人は容赦なく沈めちゃうから、覚悟してかかってきなさい
[1116] 今日は絶好の事故日和だね、気を付けていこう
[1117] 別に好きで水着なわけじゃないよ、この方がわたしの術に都合がいいの
[1118] わたしはいいけどさ、頭領って他の子にもそういうことしてるわけ？
[1119] 人魚に手を出すと、沈めちゃうぞ～
[1120] ふんふふ～ん、あっ、ごめん！聞いてないよね？
[1121] 頭領はいいね、私の使い方を分かってくれる、ふふっ、こんなの初めてだよ
[1122] いいよ、ぐっちゃぐちゃになろう…ふふっ
[1123] ん、んっ、ぷはっ…え？息を止める訓練だよ、１０分くらいが限界かな～
[1124] この戦闘服って人魚っぽいね、うん、私もお気に入りだよ。尾びれがチャームポイントかな
[1125] ん？何かした？
[1126] 「勝つの負けるの」もいいけどさ、その前に事故を無くさなきゃね
[1127] 休憩も勤勉のうち、ってね～、頭領も少し休もう
[1128] 訓練、って事？ どうぞご自由に～
[1129] ん～、こういうなんでもない時間って好きなんだよね
[1130] ふふっ、頭領も私の魅力におぼれちゃったの？
[1131] むぅ、あんまり触ると、私も触るぞ？
[1132] ん～、何もしてないよ、ただぼんやりとしてるだけ。あ、でも頭領を見てたかな
[1133] ねぇ、頭領。暇なら一緒にパトロールしよう、一緒に街を回って、色んな所にいって…ふふっ、迷子にならないように手をつながなきゃね
[1134] 負け、か…せめて、みんなだけでも…
[1135] おっけー
[1136] お待たせ！
[1137] 人魚衆直系、閃忍ウミ、推して参るよ！
[1138] はいおしまい、みんな無事？
[1139] それじゃ、置き網からやり直しって事で
[1140] いくよー
[1141] はっ
[1142] 沈め！
[1143] 殺しの技は嫌いだってのに…ローレライの歌を聞きなさい！
[1144] 助け、たかった…
[1145] 鎖々鎌くさりと申します。これより頭領のもとで閃忍として力を尽くします。
[1146] 強くなるためなら……んんっ……！
[1147] はぁ！？ぁぁ、だ…駄目ぇ……。
[1148] んっ！あっ…！ふ、んん……！
[1149] 嫌…そんなの、嫌…
[1150] 鎖縛術の一、葬送鎖縛陣！
[1151] んふふ……沢山ぴゅっぴゅ、しましたねぇ？
[1152] 嫌ぁ！んん、ん…胸ばっかり、責めない、でぇ――！？
[1153] ああ…ん、んあああ！あ、貴方のが、奥まで……来てますぅ！
[1154] 虫さん達！準備はいいですか！？
[1155] 行って！
[1156] これはどうですか！
[1157] 『終幕・蟲乱れ』！
[1158] 小さな蟲の、力を借りて…！
[1159] ひゃん！
[1160] あうぅ！？
[1161] くぅ…虫さん、達…。
[1162] うむ、順調だな。
[1163] あっ……温かいものが、入って来る……んんん！
[1164] こっこれは、あっ！あぅ！んうう！？
[1165] この私が！？くっ……うぁあ！？
[1166] 上弦衆、閃忍スバル見参！
[1167] 任務了解。スバル、出る！
[1168] 斬る！
[1169] 行くぞ、『斬・凍牙疾風』！
[1170] 閃忍ツカサよ。普段はカジノのディーラー、たまに忍者。じゃあ、報酬分は働きましょうか
[1171] 戦闘、まぁ別にいいけどぉ
[1172] 次の目標は牛丼大盛りねえ、ん？任務の話でしょう？聞いてる聞いてる～
[1173] 今夜は大勝負ね～あっ、ごめんカジノのこと考えてたわ
[1174] ゲームは好きだけど、賭け事は嫌いなの。失うものの方が多いでしょう？
[1175] あなたのためなら、報酬以上に頑張ろうって気になるの。不思議ね
[1176] 金の亡者だと思わないで、信じてくれた人は裏切らないって決めてるの。
[1177] 夜の報酬は、体で払ってほしいな
[1178] 待機命令かしら、ま、働かなくていいのは、良い事よねえ
[1179] ん？もしかして、私に見とれてる？なんてね
[1180] 今夜はカジノに顔を出すけど、頭領も遊びに来る？
[1181] カジノじゃ結構セクハラされるの、そいつらみんな一文無しになるけど
[1182] わたしとえっちしたい？じゃあコイントスで決めましょう。…はい、残念でした。
[1183] あっ、お触りは別料金よぉ
[1184] ちなみにこのコイン、どっちも表なんだけど、どっちに賭けたい？
[1185] いくつかイカサマを教えてあげようか？　ほら、ここに隠すの。触ってみて
[1186] 頭領、今晩暇なんだけど…勝負しに来る？
[1187] ふわぁ～あ、眠くなってきちゃった
[1188] 頭領？寝ているのかしら？悪戯しよっかな
[1189] んぁあ！いいっ！他の事考えられないのお！
[1190] んんん、そこ好きぃ。気持ち、いいのぉ……。
[1191] ん…（ジュルッ）んっ（ジュルル！）…ん、ふふ。きもちひぃ？
[1192] そう…体で払えって言うのね…！
[1193] 勝負師のやり方、見せてあげる。
[1194] 装身・久世！天衣霧縫！
[1195] 閃忍ツカサ、出るわ。
[1196] 行けというなら行くけど……。
[1197] うどん食べて帰ろ。
[1198] ショーダウン。私の勝ちね
[1199] はい、そこぉ！
[1200] その程度ぉ？
[1201] こっちよ！
