[1] やったぁ、強くなってる！
[64] てめえ…いい加減にしろよ…
[65] 構って欲しそうにすんじゃねよ…お前は犬かよ…
[66] うわぁ！！う、こ、こら、こんなところで発情してんじゃねぇ！
[67] いいだろ、この服…結構気に入っているんだぜ。
[68] ばぁ～～か♡
[69] 平和なもんだ…元の世界とは雲泥の差だな。
[70] あの野郎…どこ行きやがった！
[71] ああ！！ん！ううぅんん！！
[72] あ、ああん…う…この感覚は…中々慣れねぇ！！
[73] とぉ～～ぜん（当然）の選択だな…
[74] 畜生…今日は最悪な日だぜ…
[75] 殺ってやるぜ！（やってやるぜ！）
[76] 命乞いの準備はできてんだろうな！！
[77] ようやくオレの出番だな…
[78] もぉ～終わりかよ…喰い足りねぇ～なぁ
[79] ハァ！
[80] 吹き飛べ！
[81] 全部全部、粉微塵にしてやろう！
[82] チッ！
[83] フンッ！
[84] っ…もう…
[85] へぇ～…中々いいセンスしてんじゃねぇか…
[86] 俺に…ああ…んふ…まぁ、貰っといてやるよ…
[87] 戦闘参加
[88] ふぁっ、こんな……こんな、にぃ！？ふぁ……ふぁああぁああああ！！
[89] あっ、こっ、これ……ふぁ、ふぁあぁう！？
[90] 凄、こんな、の…ふぁ！？はぁああう！？
[91] はいおしまい。やったね！
[92] そぉーれっ！
[93] これで！
[94] 恋人のお願い、訊いてくれる？バジリスク・エスカレーション！
[95] はっ、はい！私を、好きに……ん、くっ、ふぁ……ふぅ！？く、ふぁあああん！？
[96] くっ、ふあ、あ、あ、あ、あ、もっと……！ふあ…！あっ…！ふああああ！
[97] ぐっ、ふあ、あ、、くぁ…あああ！くはぁ！？
[98] 推参！
[99] シッ！
[100] はぁあ！
[101] 五芒の閃光――穿！『ブリザード・エスカレーション』！
[102] うわぁああ！？
[103] ここまでか、くぅ…。
[104] あっ！ふああ！？
[105] んんん！嫌ぁああああん！
[106] あん、恥ずかしい……。
[107] ヒーロー参上！
[108] ヒーローは無敵なんだから！
[109] よぉーし！みんな無事よね！？
[110] おうぅりゃぁぁぁ！！
[111] 決めてあげるわ！ブライトネス・エスカレーション！
[112] ぐぅえええ！
[113] 何すんの！？
[114] 出動ですか、長官！？
[115] ばぁーん！変身コスチュームですよ！
[116] フラックスプロ―ジョン・ビートチェンジ！ですよね。噛まないように、練習してたりして……。
[117] この格好、結構スカート短いですけど……そこはこう、気合でっ。
[118] これひょっとして、エナジーの無駄遣い……？
[119] 長官、出動しないんですか？
[120] ふわぁ！？そこを触るのは、一体……？
[121] 訓練もバッチリ！頑張ります！！
[122] はい！御用ですか？
[123] はぁぁ、勉強もしなくちゃ。
[124] 今のうちに、宿題やっとこう。
[125] あれぇ？長官、休憩ですか？
[126] んっ！はぁ、あっ……ふわぁあ！？
[127] ふああ！？こ、これ……ふぁああ！？
[128] はぁ、ふあ…なんだか、あたたかいものが……ふあああ！
[129] ルビー、援護に入ります！
[130] よぉし！出番ですね！？
[131] いやっほぅ！勝ちましたぁ！
[132] 正義の勝利です！
[133] でぇい！
[134] えいっ！
[135] 全力フルパワー！『ストライク・エスカレーション』
[136] 痛っ！？
[137] ああんっ！？
[138] きゃん！
[139] あぅ、身体が…もたない…。
[140] 消えた光は戻らない。
[141] 仕留める。
[142] チャクラゲートオープン。殺るよ。
[143] 浮世の闇、呑むは月影。
[144] いいよね……殺すよ。
[145] きゃああ！
[146] 当ててきた！？
[147] 誰か……愛して。
[148] ね？抱きついてあげようか？いつもより感触が伝わるかも？えへ、焦っちゃって可愛い！
[149] あぁんっ…もう…ここじゃまずいよぉ…だって私…声を抑えられそうにないし……んあっ……夜、夜にね？
[150] チョコでも食べる？私を食べても良いしー！…って！今すぐはダメよ！？待って待って！
[151] あ！見てるなら言ってよ～。油断してるところは見せたくないの！もう…エッチ。
[152] 女の子は見られるときれいになるの。だ～か～ら～。も～っときれいになるため、協力してよね！
[153] えっへへ～。この衣装いいでしょ～？もっと見て見て～。
[154] ふ～ん？当たってるって、何が～？えへ、なーんちゃって！もちろん、当ててるんだけどね～！
[155] 何もしないでぼーっとするのも、2人ならいいよね。ね？全然退屈なんかじゃないよ。
[156] ふふっ、もっと近くで見てもいいよ？そうそう、息がかかるぐらい近く……あっ……もっと、もっとぉ……あん…っ！……チュッ
[157] ああっ、駄目、待ってぇ…っ、ふぁああぁあぁああ！？
[158] 愛の力？…だったりして？
[159] んはぁ！？はぁああああん！
[160] アイテム使用
[161] えへへっ、お返しは何が良い？
[162] 私はチョコほど甘くはないのっ。
[163] イェイ！勝った勝ったぁ！
[164] てぇーい！
[165] これが私の想いよ！溢れ出せ、『ラブ・オ・ショコラ』！
[166] 羅刹のひしめく世界の闇を、払うは乙女、我。閃忍なり！バレンタインナリカ、ここに見参！
[167] あっ！はぁん！？あはぁあああん！？
[168] んっ…えへへ、良い感じぃ！
[169] あっ！これ……凄い……！？
[170] くぅ…私をどうする気？
[171] バレンタインナリカ、見参！
[172] 私が先陣を切るわよ！
[173] みんなで甘いもの食べに行きましょ！
[174] くらいなさい！
[175] いけー！
[176] やっ！
[177] これが私の想いの強さ！いけ！ストレイトハァーート！！
[178] あいたっ！？
[179] きゃぁ！？
[180] なんのぉ！
[181] ありがとう…大事にするからね。
[182] いいの？やったぁー！！
[183] また、強く……んっ、んぅう！なった、ぜ……！
[184] んぁ！んっんうううう！んあああああああ！？
[185] くっ、こ、これは……ぐうう！？
[186] 任しとけ！試合の流れは掴んでるぜ！
[187] さーて、今日のお立ち台は誰だろうなー？
[188] いっくぜぇ！
[189] ここで燃えなきゃ女が廃る！飛べ！ギャラクティカ！ホームラァーーーン！！
[190] Don't touch me!　あなた、わざと言わせたわね！
[191] やっぱりこの衣装を着ると、気持ちが引き締まるわね。
[192] もちろんピアノも弾けるわよ。でも色々な音が出せる方が楽しいから、今はキーボードオンリーね。
[193] アイドルに触れると高くつくわよ。そうね…3,000円くらい？え？安い？…じゃ、じゃあ、10万円！
[194] あなたといると良い歌詞が浮かびそう。でもその詞は誰にも聞かせずに、独り占めしたい気もするのよね。
[195] ここでステップ、回って…ジャンプ！体に染みつくまで練習あるのみ。
[196] あら、ごきげんよう
[197] アニメ歌手としてデビューするのも良い戦略ね。ま、今はどこも枠が一杯でしょうけど。
[198] 知識は宝よ。作詞にも役立つしね。
[199] 私をじっと見て、どこかおかしい？どこもおかしくはないでしょ？制服の乱れは心の乱れだもの。
[200] ぼんやりして…体調でも悪いの？ま、あなたが私を心配する程度には、私も心配してあげるわよ。
[201] マネージャーは…いないのかしら…その陰に隠れて私に襲い掛かろうと…していたら、嬉しいわねぇ。
[202] 強引に中へ入ってくる…あぁあぁぁあぁぁぁ
[203] んん…力強いわ
[204] あぁあんん…んん…くあぁぁあぁぁ
[205] くぅ…こんな奴に…くやしい…
[206] ライブはまだまだこれからよ！
[207] 客席は温まっているようね！
[208] あなたの心に響いたかしら？
[209] 良いステージだったわ
[210] いくわよ！
[211] きっと皆に届くはず――ユニバース・ラブ！
[212] やったわね？！
[213] ビートアイドル・タマキだよ！ みんな～最後まで盛り上がってね～
[214] はーい、ビートアイドル・タマキ、ここにいまーす
[215] 最近のドラマーは叩いて歌って踊るのが当たり前なんだよ
[216] 頭に毛が3本って、もう引っこ抜いてしまう方が潔いよね～。え、そんな話してない？
[217] ん？おっぱい触りたいの？えへへ～だめ～
[218] あのね、手つないでいい？えへへ、暖かいね～
[219] わたしだって、偶には泣くよ。前も…えっ～と確か、えへへ、忘れちゃった
[220] あんっ、もう、そういうのは寝る前にしなきゃダメなんだよ、ずっとしてたらバカになるんだから
[221] 夜に練習したくなったらヘッドフォンをつけるんだ。私は静かに過ごせたけど、後でアキエに思いっきり怒られちゃった
[222] マネージャー、元気ないの？だったらわたしのを分けてあげる。ん～元気注入～
[223] にゃ？
[224] 上に来てるのはユニフォームだよ。でも、私の通ってたとこスポーツ弱いんだ
[225] クンクン、わたし、汗臭い？ ちょっと走ってきたから…え、いい匂い？やったぁ
[226] なになに？お触り？ 	うん、いいよ。はい、どうぞ
[227] 触られるとドキドキする。もしかしてこれが、虫の知らせ？
[228] お腹がすいて力が出ないよ～。と言うわけで一緒にご飯食べよ
[229] 今日も元気元気。ほら、マネージャーも元気！ み～んな元気！ やったー！
[230] ねぇねぇ、暇だったら走りに行こう。思いっきり走って頭空っぽにすると色々詰め込めるんだって
[231] わたし、少しは成長できたかな～？おっぱいじゃなくて、人間的にって事だよ～
[232] わぁ～すっご～い
[233] うぅっ、悔しい…
[234] さーて、一局目から飛ばしちゃうよ～
[235] フラックス・プロージョン、ビートチェンジ！
[236] タマキ、いっきまーす！
[237] 次の曲いっくよー！
[238] いっえ～い、勝てました！
[239] わたしのドラム、どうだった？
[240] えいっ
[241] やぁっ
[242] たぁっ
[243] あいた
[244] にゃあ～！
[245] ひあぁぁ～っ
[246] やられた～
[247] 青い地球を守るため、愛の歌を届けます！ビートアイドル・マリナ、今、On STAGEです！
[248] 私の歌、もっとたくさんの人に聞いてもらいたいです。そのためにも日々、練習ですね。
[249] アイドルマリナの戦闘服です。どうですか？似合ってますか？
[250] 歌って、踊って、戦って…アイドルって忙しいんですね。でも、ファイト！ファイト！おお～！です。
[251] マネージャー？どうかしましたか？私の衣装がおかしいですか？少し露出は多いかもですが、可愛いですよね！
[252] 呼びましたか？ダーリン♪えへへへ、歌詞に使えそうなので試しに呼んでみました…て、照れますね。
[253] アイドルは恋愛禁止です。でも、マネージャーは特別です。うふふふ、そういうものなのです！
[254] あっ、いや、んん、ダメですよ～…誰かに見られたら、どうするんですか？写真撮られちゃいますよ～（困）
[255] ワン、ツー、ワン、ツー…えへへ、ダンスの練習をしていました。マネージャーも一緒にどうですか？一緒にいい汗をかきましょう！
[256] どーーしても演歌だけは苦手なんですよね～失恋をテーマにした曲が多くて…私、まだよくわからないんです。
[257] あの…その…そんなに見つめられると…ちょっと…困ります…恥ずかしくて…
[258] お仕事も、戦うのも、あと…エッチも…精一杯、頑張ります！だってビートアイドルですから！！
[259] うふふふ、長官は、私のマネージャーさんでもあるんですよね。二人三脚、もっと、もっと！仲良くなりましょう！
[260] マネージャー！？お仕事ですか？出動ですか？それとも…ええっと…私、何でも頑張ります！
[261] あぁ、マネージャー…そんなところ…あぁ…ん、もう…夜まで待てないんですか？
[262] アイドルが戦わなくても良い時代…いつか来るといいですね。そのためにも、頑張って歌っちゃいますよ～！
[263] 元気がないみたいですけど、大丈夫ですか？フレー！フレー！マネージャーさん！！どうです？元気出ましたか？
[264] マネージャー、もう少し傍にいてもいいですか？あなたを見つめていると、なんだか、いい歌詞が浮かびそうなんです。
[265] 最近、よく眠れていますか？そうだ！子守唄を歌ってあげますよ！え？今眠くなると困る？もぉ～ぉ…残念です。
[266] ん…ん、んぅ！んぅ、あっ！ぁ、ぁ、ああ……！
[267] あぅ、う、んっ！……レッスン、ありがとうございます。
[268] も、もう限界！あ、ああ！あっ、あああああ！？
[269] わ…私、負けて…ああぁ…いやぁぁぁぁぁ！！！
[270] みんなー！盛り上がってるー！？
[271] いっくよー！
[272] 絶対負けない！
[273] 痛い！？
[274] 残念ながら。ここまで……。
[275] 周りに浮いているのは何か…じゃと？我も知らぬ！
[276] 我の肌はスベスベ、ツヤツヤじゃぞぉ～ほれ、触ってみるがよい。
[277] ううん、この格好は腹が冷える…もう少し我にひっつくのじゃぁ～
[278] 我が「せくしい～」なのは知っておるぞ！
[279] この戦闘服は胸元がとてもキツイの～～、うむ、ぎゅうぎゅうに締め付けておる（棒読み）。だから小さく見えるだけじゃぞ！
[280] 我のくっせ毛が気になるじゃと？馬鹿者！この髪のハネ具合で体調がわかるのじゃ。今は、ビンビンでイケイケっぽいのぉ～
[281] ふむ…愛されキャラか…うん、悪くない響きじゃ。
[282] 巫女装束に興味を抱くのはわかるが…中身も大事じゃぞ。
[283] 我を愛でたいのなら、素直に言うがよい！
[284] 我の顔を見たいのじゃな？…うふふ…ゆっ～くり間近で見るがよい。
[285] おおおおおおい…ネットで怖い話を見てしもうたのじゃ…なぬ？巫女なら平気だろ？だとぉ！？…実物より作り話の方が怖いのじゃぁ！
[286] 一人で過ごすのも良いが、賑やかなのも悪くないのぉ…欲を言えば主様と二人きりが一番なのじゃが…うふふふ、贅沢は言うまい。
[287] んゅう！んぁあ……ぁ。心地、良いのぉ……。
[288] んんん！んっ！ふっ！ふあぁあ！？
[289] ん、んんん！力が、溢れて……ひゃ！？ふやあああああ！？
[290] フラックスプロ―ジョン、ビートチェンジ！
[291] わ、我を攻撃すると罰が当たるのじゃ！
[292] 痛いのは無しで頼むのじゃ！
[293] 皆の者、大義であった！
[294] ぃえい！
[295] とりゃあ！
[296] 目にモノ見せてくれる！
[297] 行くぞ！
[298] ええい、出欠大サービスじゃあ！
[299] 清め札、大盤振る舞い！
[300] あいたっ
[301] 酷いのじゃ！？
[302] ばたんきゅ～
[303] わ～～～い！！お菓子なら褒めてやるのじゃ！
[304] んふふ…なかなか、男を魅せるではないか…
[305] リア様、必ずリーザスに帰りますから、待っていてください！……待っていて、くれるかなぁ
[306] あら？また強くなってる？
[307] やったわ！レベル屋に行きましょう！
[308] 走り込みなら負けないわ！
[309] 痛い！
[310] 何するの！？
[311] ち……力が、溢れて…ん、ふあぁああん！？
[312] いっぱい……トキサダさんのお世話が出来ちゃいます！
[313] トキサダ、さぁん！あっ、あん！激しいですぅ！！
[314] また冒険かぁ～。今回はどんな事になるのかな？……にへへっ♪
[315] はぁ～、魔法の修行なんて、魔王と戦う前以来だなぁ～。
[316] ん、よしよし。良い感じじゃん♪
[317] お、レベル屋行っちゃう？
[318] あ～くそっ…ミスっちゃったなぁ…
[319] ホント…やれやれだわ…
[320] うん…こんなものね。
[321] 強くなったのを実感するわ。
[322] レベルアップね。
[323] いや…はっ、離して！！
[324] 戦闘開始
[325] 戦闘勝利
[326] ありがと。……そうね、プレゼントなんてめったに貰わないから、嬉しいわ。
[327] 正義の蒼い弾丸！ビートシューター・リンドウ！　ここに見参！
[328] 悪は許さない！敵が着たらすぐに教えてほしい
[329] 用が無いなら僕は訓練に戻るよ。まだまだ強くならないと
[330] みんなで仲良く…か、ごめん、そういうの興味ないかな
[331] なんか、いやらしい視線を感じるんだけど
[332] 僕、どうやら君の事が…その、嫌いじゃないみたいだ
[333] いつも気にかけてくれてありがとう。これでも感謝しているんだよ
[334] 僕の体、気になるの？ちょっとくらいなら、触ってもいいよ
[335] ん？長官？寝てしまったのかい？
[336] ふぅ、ブルーフェアリーなんて本当に久しぶりだな…ふふっ、なんだか楽しいかも
[337] 痛い！な、なんでしょう？
[338] ダイビートはお給金が高いからとても大助かりで…もやし生活からも脱却です
[339] うぇっ！？あの、どうして触るのでしょう？私何か粗相を？
[340] ううっ、男の人とお仕事なんて、何だか恥ずかしい
[341] そ、そんなに見つめないでください、顔が、熱くなっちゃいます
[342] 長官、いつもありがとうございます。わたし、本当に助けられてます
[343] D,Dチャージですか、わわ、分かりました。ご迷惑をおかけします
[344] もっと演技の勉強しないとな、ヒーローとしての仕事もしないと…ふぅ、やることたくさん
[345] 私なんかがヒロイン何て、いいのかな？うぅ、やっぱり場違いなのかも
[346] んんっ、あっ！ちょ、長官、くぅう！？
[347] んんぅ、あそこが……ムズムズします。
[348] ふあぁ、凄い……！力が、溢れてます。
[349] い、いや…そんな、誰か助けて…
[350] 敵を殲滅する
[351] フラックスプロージョン・ビートチェンジ
[352] 悪は許さない
[353] 助けに来たよ
[354] ふっ、僕たちの勝利だ
[355] もんなお疲れ、さ、帰ろう
[356] ターゲット捕捉、当たれぇ！！
[357] だめ、ここまでか
[358] ビートスピナー・ハザクラ、あなたのお役に立って見せます
[359] いっ、いつでも行けます！不安はあります…それでも戦うと決めましたから
[360] だっ、大丈夫です。きっと、できる、できるはず
[361] ひゃあっ！？ちょ、長官！？すみません、驚きすぎました。その、緊張のあまり
[362] これが噂のセクハラ？わたし相手で良かったのでしょうか？誰かとお間違えでは？
[363] 長官に見てもらえるなら、わたし、何でもできそうです
[364] 長官の為に、あ、あわわ…いえ、世界の為にがんばります
[365] ひゃあっ、ちょ、長官さん！？えっ、わたしに触れたい？もちろん、構いませんが、で、できれば、人のいない場所がいいです
[366] この耳ですか？うーん、何なのでしょう？えっ、触りたいですか、かまいませんよ。うっ、あっ、あぅぅ、はにゃぁ…
[367] わたしの胸、変でしょうか？だって、長官がさっきからずっと見ているので…いえ、見られるのはう、嬉しいです
[368] えっ、わたしですか！？わたしなんかに声をかけてくれるなんて、う、嬉しいです
[369] はっ、はい！ここにいます、隅っこでじっとしていました。堂々としているのは申し訳なくて
[370] ここにいても良いのでしょうか、少しだけ、いえ、かなり申し訳ない気持ちになります
[371] 何でも言って下さい、でも、できるかどうかは…自信ないのですが…あうぅ
[372] み、見られています…えへへ、長官に見つめられると、何だかドキドキしてきます
[373] こ、心の準備はできてます。ですから、その、いつ呼んでもらってもOKです、はい
[374] 長官が傍にいると、何でもできる。そんな気持ちになれるんです。でも、一人でも大丈夫なように、頑張ります
[375] あわ…す、すみません、胸が苦しくて…はい、ブラはきつめです。すぐ大きくなっちゃうから、我慢してます
[376] あの、長官。わたし、邪魔じゃないですか？もっと隅っこに行った方が…えっ！？そんな間近にいたら鼻血が出ちゃいます！
[377] んん、あ、ふあ！ふあぁあ！？
[378] んぅうう！！こ、声が……っ、出ちゃいますぅ！？
[379] ひぅう、あっあっ駄目……ああ、ああぁああぁあああああ！？
[380] やっ、やだ！助けて長官！いやあぁぁぁっ！？
[381] 大丈夫、きっとやれます！
[382] フラックスプロージョン・ビートチェンジ！
[383] まずは、ドッグウォークから……。
[384] 期待に沿えるよう頑張ります。
[385] 私にも、出来ました！
[386] やったー！
[387] いきますよ！
[388] そこです！
[389] 決めます、ハイパートリック！竜驤虎躍！！
[390] きゃ！
[391] やっぱり、わたしなんかじゃ…
[392] くっ…こ、これは……はぁっ、はぁっ……変な声が、出る、ん…ふああああ！
[393] と、トキサダ殿……それ以上は、あああ！？
[394] んっトキサダ殿…感謝する。私は、もっと強くなれる……！
[395] 見参！
[396] 我が愛刀も今宵は血に飢えておるわ……なんてな。
[397] せいっ！
[398] 『美剣流奥義・岩！山！両！断！刃』ァ！
[399] くぅ！
[400] ぐああ！？
[401] 訓練はいつも欠かせませんね。
[402] 特訓……付き合ってくれて、ありがとうございます。
[403] 射撃は得意なんです。
[404] 出番ですか。
[405] みんなで掴んだ勝利ですね。
[406] ふう……。目標沈黙、戦闘終了します。
[407] りゃあ！
[408] 覚悟！
[409] 仕掛けるなら今！総員、奮励奮起せよ！
[410] 大自然に抱かれて、ビートネイチャー・アケビこと喜納あけび、ここに参上です
[411] この衣装、結構恥ずかしいんです、体のラインが出てしまって…でも、山登りには最適かもしれませんね
[412] 戦闘って、苦手です…でも、もっと強くならないと。また山に登って、体力つけましょう
[413] あの…もう少し絞った方が良いでしょうか？…その、お腹とか
[414] あんまりじろじろ見ないでください～あぁ、しゃがんだら食い込んじゃう～
[415] 長官くんはこの格好どう思いますか？ えっ、似合ってる？ ふふっ、嬉しいです
[416] 私がこうして戦えるのも長官くんのおかげです、いつもありがとうございます
[417] 長官くん、今夜の予定は空いていますか？一緒に星を見に行きたいなって…え？星よりもわたしが見たい？…もう
[418] んふふ～え、特にいい事があった訳じゃないんですけど、笑顔でいる方が楽しいじゃないですか
[419] え～い、や～、えへへ、これはポールをうまく扱う訓練です。でも、この前花瓶を割っちゃってすこししょんぼりさんなんです
[420] えっと、何か御用でしょうか？
[421] 長官くん、お暇でしたら私とお散歩しませんか？近くの山まで。空気が澄んでいて気持ちいいですよ
[422] 山はいいですよ、朝なんて特に。あ、もちろん、昼も夜もいいですけどね
[423] あっ、驚かせないでくださいよ～熊さんかイノシシさんかと思いました。普段から鈴を鳴らす方がいいのでしょうか？
[424] うふふ、長官くんって何だか可愛いですね、よしよし、していいですか？
[425] えっ、今夜の予定ですか？空いてますが、何か用でしょうか？…なーんて、少し期待しています
[426] わたし、良くおっとりしてるって言われるんですよね、う～ん、どこがでしょうか？
[427] 春の山は命の息吹が感じられますね。夏は空が、秋は紅葉がきれいです。味わい深いのは冬の山ですけどね
[428] 自宅の部屋は植物さんでいっぱいなんです。今はお世話を両親に頼んでいるのですが、ほら、花が咲いたら写真を送ってくれるんですよ
[429] ああっ、んっんあ！ああ、んっくぅ、あっあっ！んああぁあああう！？
[430] ああ、いい…気持ち、っい、いいかも…ひゃ、ぁう、あう！？
[431] 私、強くなりました！……ような、気がします。
[432] そんな、負けてしまうなんて…いやぁぁぁっ！？
[433] ビートネイチャー・アケビ、行きます！
[434] 私……勝っちゃいました？
[435] 大自然の、勝利です！
[436] いっきますよー！
[437] それぇ！
[438] たぁー！
[439] いっけぇーー！エナジーポールゥー！
[440] 痛ったい
[441] だ、駄目っ！あたい、壊れちゃう……ひゃああ！？
[442] こ、こんなの無理……ひっ！？うっ！ううぅ……。
[443] あ、兄貴……あっ、ひゃ……あ、はぁうう！
[444] 出撃ですかぁ～？やっっちゃいますよ～！！
[445] 長官さん…な、なんか…目がエッチじゃないですか？
[446] うーん…ちょっとツツキ過ぎでは？
[447] あなたがいるから、頑張ろっかなって思います！
[448] あうぁ…この体勢、結構疲れるんですけど…
[449] ひ～～ま～～ひま、暇で～す…ライブ配信でもしようかな？接近！秘密基地の指令室公開！
[450] な…何もしてないですよ～ホント、ホントぉ…
[451] ひぃぃ～そそそ…そういうのは…んあ、その…今からですか？
[452] 長官さ～ん、どこか行きませんか？ほら、ネタを探しに…
[453] 長官さん、今度の動画、出ませんか？人気でますよぉ～
[454] 今のうちにファイルの整理でも…あ、これは…アハハハ！おっかしい！！
[455] あれれ？お休みですかぁ～？じゃ、私も一休みっと…
[456] んあ、だ、ダメですよぉ……そ、そんな……！あっ……！？
[457] はぁ、あっ、はぁっ……！な、なんか……入って……ふぅ、んはあぁああぁあああ！？
[458] ふあぁ！？あっ、はっ……だっ、だめぇ……。
[459] フェリニが戦闘に参加してみた！
[460] それでは、動画スタート！
[461] ビィーム！
[462] ヘイ、ユー！
[463] それでは張り切って参ります！生放送、スタート！
[464] 「あべし！！」（元ネタは特徴的な断末魔で知られる北斗の拳）
[465] わ…わたしが倒れても…いずれ第2第3の…あぅ…
[466] ブレイカー装着！へへっ、どこからでもかかって来いってんだ！
[467] どう長官？格好いいでしょ！…へ、か、可愛い？わたしが！？
[468] よーし！準備OKだ、いつでも行けるよ！
[469] この戦闘服動きやすいんだけど、ちょっと肌出しすぎじゃない？
[470] へへっ、わたし頑張るからさ、見ててよね、長官
[471] 長官になら、見て、くれても、かまわな…うわぁ～今の無し！
[472] んんっ、出撃前なのに、触るだなんて…あぁんっ
[473] やっぱり、このスーツ露出度高い、よね？うぅ～恥ずかしいな～
[474] 長官、寝てるかな。ふふっ、結構かわいい顔してるんだ。何か新鮮かも
[475] 長官、長官！またわたしに稽古つけてよ、稽古～
[476] へへっ、わたし、長官が上官で良かったよ
[477] 敵が出てきたら言ってよね、わたしの拳でズバーッ！だよ
[478] １，２，３，４…お、長官も一緒に筋トレする？
[479] な、なにさ、そんなじーっと見て…恥ずかしいよ
[480] ちょっ、どこ触ってるの！？ 人に見られたらどうするのさ
[481] えっ、べ、別に長官の顔をｼﾞｰｯと見つめたりなんてしてないよ！
[482] １，２，３，４…ん、スクワットしてるんだ、長官もやるかい？
[483] いつもありがとうね長官、わたし、感謝してるんだ
[484] よっしゃあああ！強化完了だよ！
[485] まだまだ私は、強くなれる！
[486] んゅ………これ……？は、ふ、ぅ……ああん！
[487] くっ、こ、こんなはずじゃ…
[488] ビートブレイカー・アイ、出撃だ！
[489] わたしの拳の出番だね
[490] 鎮圧を開始する！
[491] 私達の勝ちだよ！
[492] いい勝負だったよ！
[493] やぁあああI!
[494] はぁ！
[495] 負けないよ！
[496] 私が守るんだ！
[497] 悪を許さない！
[498] これが！あたしの！全力！『雷！神！拳ぇええええええええん』！！
[499] んうう！？
[500] こんのぉ！
[501] うわぁ！？
[502] ごめん、後は任せるね。
[503] ああ……！やだ、これぇ……気持ちいい……ふぁあぁあ！
[504] うん……強化、完了しました。
[505] 長官、ありがとうございます！
[506] 国防陸軍特能戦技部隊所属、龍造寺ユイ。コードネーム、ビートブレイカーユイ。ダイビートに着任！　ウフフッ、よろしくね♪
[507] 年甲斐もなくこんな格好……やっぱり恥ずかしいわ。
[508] 出動ならいつでも呼んで頂戴。すぐに出撃するわ。
[509] ちょっと他の女の子の指導に行くわね。そういうのも、私の仕事なの。
[510] ト、トキサダくん……あんまりジロジロ見ちゃ、やーよ？　あぁ……露出度が、高い…。
[511] もう……こんなおばさんを、こんな格好にして近くに置くなんて……。トキサダくんも変わってるんだから。
[512] きゃっ！？　こ、こらトキサダくん、こんなおばさん触っても楽しくもないでしょう？　もう、いたずら坊やなんだから。
[513] いつもアイとメイの面倒を見てくれてありがとう。トキサダくんになら、ふたりを任せられるわ。
[514] たまにはゆっくりしたっていいのよ。あんまり無理しすぎないように、ね？
[515] くぅっ……この程度で負けたり、なんて、しないわ。
