[1] 太棒啦，变强了！
[57] 那个……怎么说呢……你，那个……喜欢小孩吗？
[58] 又得去训练那群新人了……看着真让人捏把汗。
[59] 在你的指挥下战斗，感觉还不赖。
[60] 这样下去身体都要生锈了。
[61] 待命命令什么的，真是无聊透顶。
[62] 啊？找我有事？
[63] 干嘛啊！烦死了……
[64] 你这家伙……适可而止一点啊……
[65] 别一副想要我理你的样子……你是狗吗……
[66] 哇啊！！喂、喂，别在这种地方发情啊！
[67] 这衣服不错吧……我挺喜欢的哦。
[68] 大～～傻瓜♡
[69] 真是和平啊……和原来的世界简直是天壤之别。
[70] 那家伙……跑哪去了！
[71] 啊啊！！嗯！呜呜嗯嗯！！
[72] 啊、啊嗯……呜……这种感觉……实在习惯不了！！
[73] 理所……当然的选择呢……
[74] 混蛋……今天真是倒霉透顶的一天……
[75] 干掉他们！（做掉他们！）
[76] 做好求饶的准备了吧！！
[77] 终于轮到我出场了吗……
[78] 这么快～就结束了吗……还没吃够（打够）呢～
[79] 哈！
[80] 给我飞出去吧！
[81] 通通通通给我化为粉碎吧！
[82] 啧！
[83] 哼！
[84] 呃……真是的……
[85] 哼～……品味相当不错嘛……
[86] 给我的……啊……嗯哼……算了，我就收下吧……
[87] 参加战斗
[88] 呀啊，这种……这种，刺激……！？呀啊……呀啊啊啊啊啊啊！！
[89] 啊，这、这个……呀、呀啊呜！？
[90] 好厉害，这种、感觉……呀！？哈啊啊呜！？
[91] 好啦，结束。太棒了呢！
[92] 看——招！
[93] 尝尝这个！
[94] 能听听恋人的请求吗？巴西利斯克·超昂！
[95] 哈、是的！请对我……随意……嗯、咕、呀……呼！？咕、呀啊啊嗯！？
[96] 咕、呀、啊、啊、啊、啊，还要……！呀……！啊……！呀啊啊啊！
[97] 咕、呀、啊、、咕啊…啊啊啊！咕哈！？
[98] 参上！
[99] 嘘！
[100] 哈啊！
[101] 五芒之闪光——穿！『暴风雪·超昂』！
[102] 哇啊啊啊！？
[103] 到此为止了吗，咕……。
[104] 啊！呀啊！？
[105] 嗯嗯嗯！不要啊啊啊嗯！
[106] 嗯，好羞耻……。
[107] 英雄参上！
[108] 英雄可是无敌的！
[109] 好——啦！大家都没事吧！？
[110] 噢噢俩啊啊啊！！
[111] 由我来一击定胜负！闪耀·超昂！
[112] 咕哇埃埃！
[113] 干什么啦！？
[114] 要出动了吗，长官！？
[115] 砰——！是变身战斗服哦！
[116] 是“通量爆发·节拍转换”对吧。为了不咬到舌头，我一直在练习呢……
[117] 这身打扮，裙子相当短呢……不过，这就靠干劲来克服了！
[118] 这该不会是在……浪费能量吧……？
[119] 长官，不出动吗？
[120] 呼哇！？摸那种地方，到底是……？
[121] 训练也十分完美！我会加油的！！
[122] 到！有什么吩咐吗？
[123] 哈啊，也得好好学习才行。
[124] 趁现在把作业写了吧。
[125] 哎呀？长官，您在休息吗？
[126] 嗯！哈，啊……呼哇啊！？
[127] 呼啊啊！？这、这个……呼啊啊！？
[128] 哈，呼啊……感觉，有什么热热的东西……呼啊啊啊！
[129] 红宝石（Ruby），前来支援！
[130] 好咧！轮到我出场了吧！？
[131] 呀吼——！赢了！
[132] 这是正义的胜利！
[133] 嗒啊！
[134] 欸呀！
[135] 全开最大力量！『打击·超昂』
[136] 好痛！？
[137] 啊嗯っ！？
[138] 呜呀！
[139] 啊呜，身体……撑不住了……
[140] 消逝的光芒无法重现。
[141] 解决掉。
[142] 脉轮之门开启。我要大开杀戒了。
[143] 浮世之暗，吞吐月影。
[144] 可以吧……我要杀了你哦。
[145] 呀啊啊！
[146] 居然打中了！？
[147] 谁来……爱我吧。
[148] 呐？要我抱抱你吗？感觉会比平时更能传递触感哦？诶嘿，慌慌张张的样子好可爱！
[149] 啊嗯……真是的……在这里不可以啦……因为我……感觉会控制不住声音……嗯啊……晚上，等到晚上好吗？
[150] 要吃巧克力吗？吃我也行哦——！……等等！现在马上不可以啦！？等等等等！
[151] 啊！有在看的话就说一声嘛～。不想让你看到我毫无防备的样子！真是的……好色哦。
[152] 女孩子被看着就会变漂亮。所～以～啦～。为了让我变得更漂亮，要多配合我哦！
[153] 诶嘿嘿～。这身衣装不错吧～？再多看看嘛～。
[154] 呼～嗯？碰到了，什么碰到了～？诶嘿，开～玩笑的！当然，我是故意碰到的啦～！
[155] 什么都不做发发呆，两个人一起的话也挺好呢。对吧？完全不会觉得无聊哦。
[156] 呼呼，再靠近一点看也可以哦？对对，靠近到能感受到呼吸的距离……啊……再多、再多一点……嗯……！……啾♡
[157] 啊啊，不行，等一下……呀啊啊啊啊啊啊！？
[158] 爱的力量？……也说不定哦？
[159] 嗯哈！？哈啊啊啊啊嗯！
[160] 使用道具
[161] 诶嘿嘿，回礼想要什么好呢？
[162] 我可没有巧克力那么甜哦。
[163] 耶！赢了赢了！
[164] 嗒——啊！
[165] 这就是我的心意！喷涌而出吧，『巧克力之爱（Love au Chocolat）』！
[166] 斩尽罗刹丛生之世间黑暗，斩除者乃少女，我等。闪忍是也！情人节成香，在此参上！
[167] 啊！哈嗯！？啊哈啊啊啊嗯！？
[168] 嗯……诶嘿嘿，感觉很棒呢！
[169] 啊！这个……好厉害……！？
[170] 咕……你想把我怎么样？
[171] 情人节成香，参上！
[172] 由我来打头阵！
[173] 大家一起去吃甜食吧！
[174] 尝尝这招吧！
[175] 上吧！
[176] 呀！
[177] 这就是我坚贞的心意！去吧！直击心灵（Straight Heart）！！
[178] 好痛！？
[179] 呀啊！？
[180] 没用的！
[181] 谢谢你……我会珍惜的。
[182] 可以吗？太棒啦——！！
[183] 又变强了……嗯，嗯呜！了呢……！
[184] 嗯啊！嗯っ嗯呜呜呜呜！嗯啊啊啊啊啊啊啊！？
[185] 咕，这、这是……咕呜呜！？
[186] 包在我身上！比赛的节奏我已经掌握了！
[187] 那么——今天站上英雄台的会是谁呢—？
[188] 要上了哦！
[189] 这种时候不燃烧起来可就枉为女人了！飞吧！银河！全～垒～打～～！！
[190] Don't touch me!（别碰我！）你绝对是故意让我这么说的吧！
[191] 果然穿上这身衣服，心情就会紧绷起来呢。
[192] 我当然也会弹钢琴哦。不过能发出各种各样的声音更有趣，所以现在只弹电子琴呢。
[193] 触碰偶像可是要付出高昂代价的哦。让我想想……大概3000日元？诶？太便宜了？……那、那就10万日元！
[194] 和你在一起感觉能浮现出好的歌词呢。不过那些歌词我不想唱给任何人听，有点想独占呢。
[195] 在这里踏步、转圈……跳跃！只有练习到融入身体为止这一条路。
[196] 哎呀，你好啊。
[197] 作为动画歌手出道也是个不错的策略呢。算了，现在哪里都额满了吧。
[198] 知识就是宝藏哦。对写词也有帮助呢。
[199] 盯着我看，是我哪里奇怪吗？哪里都不奇怪吧？制服凌乱就是心灵凌乱。
[200] 发呆……是身体不舒服吗？算了，看在你担心我的份上，我也稍微担心一下你好了。
[201] 经纪人……不在吗……要是躲在这个阴影里准备袭击我……的话，我反而会很高兴呢。
[202] 强行挤进内部……啊啊啊啊啊啊
[203] 嗯嗯……很有力道呢
[204] 啊啊嗯嗯……嗯嗯……咕啊啊啊啊
[205] 咕……居然输给这种家伙……真不甘心……
[206] 演唱会可还没结束哦！
[207] 观众席似乎已经热起来了呢！
[208] 有响彻你的内心吗？
[209] 真是个不错的舞台呢
[210] 要上了哦！
[211] 一定能传达给大家的——宇宙之爱（Universe Love）！
[212] 成功了呢？！
[213] 我是节拍偶像·环哦！大家～要嗨到最后哦～
[214] 好——的，节拍偶像·环，在此登场——
[215] 最近的鼓手，边敲边唱边跳可是理所当然的呢
[216] 头上只有3根毛的话，干脆拔掉反而比较干脆吧～。诶，没在聊这个吗？
[217] 嗯？想摸胸部？诶嘿嘿～不行～
[218] 那个啊，可以牵手吗？诶嘿嘿，好温暖呢～
[219] 即便是我，偶尔也是会哭的哦。上次也是……那个～让我想想，诶嘿嘿，忘记啦
[220] 嗯嗯，真是的，那种事情不等到睡前做是不行的啦，要是一直做的话会变笨的
[221] 晚上想练习的话就要戴上耳机。我倒是安静地度过了，但事后被亚基埃狠狠地骂了一顿
[222] 经纪人，没精打采的吗？那样的话我分你一点活力吧。嗯～活力注入～
[223] 喵？
[224] 上面穿的是队服哦。不过，我以前读的学校体育很弱啦
[225] 嗅嗅，我身上有汗臭味吗？因为刚刚跑了一会儿……诶，很香？太棒啦
[226] 怎么了怎么了？要摸摸吗？嗯，可以哦。来，请吧
[227] 被摸的话心跳会加速。难道说这就是……凶兆（预感）？
[228] 肚子饿得没力气了～。所以说一起去吃饭吧
[229] 今天也是活力满满。看，经纪人也很有活力！大～家都很有活力！太棒啦！
[230] 喂喂，有空的话一起去跑步吧。听说尽情奔跑把脑子放空的话就能装进很多东西哦
[231] 我有没有稍微成长了一点呢～？不是说胸部，是说做人方面啦～
[232] 哇～好～厉害
[233] 呜っ，好不甘心……
[234] 那么——从第一局开始就要全力以赴了哦～
[235] 通量·爆发，节拍转换！
[236] 环，要出击了——！
[237] 下一首歌要上啰——！
[238] 耶——，赢了！
[239] 我的打鼓表现，怎么样？
[240] 欸っ
[241] 呀っ
[242] 嗒っ
[243] 好痛
[244] 喵啊～！
[245] 嗨啊啊～っ
[246] 被干掉了～
[247] 为了守护蔚蓝的地球，献上爱的歌声！节拍偶像·真理奈，现在，登台（On STAGE）！
[248] 我想让更多的人听到我的歌声。为此每天都要好好练习呢。
[249] 这是偶像真理奈的战斗服。怎么样？适合我吗？
[250] 唱歌、跳舞、战斗……偶像还真是忙碌呢。但是，加油！加油！哦～！
[251] 经纪人？怎么了吗？我的服装很奇怪吗？虽然露出度可能有点高，但很可爱对吧！
[252] 在叫我吗？亲爱的♪诶嘿嘿，感觉可以用在歌词里所以试着叫了一下……真、真是害羞呢。
[253] 偶像可是禁止恋爱 mandatory 的。但是，经纪人是特殊的。呜呼呼，就是这么回事！
[254] 啊，不，嗯嗯，不可以啦～……要是被别人看到怎么办？会被拍下照片的啦～（困扰）
[255] One, Two, One, Two……诶嘿嘿，我在练习舞蹈。经纪人要不要也一起来？一起好好流一场汗吧！
[256] 唯独演歌我无论如何都不擅长呢～很多都是以失恋为主题的歌曲……我还不太明白呢。
[257] 那个……那个……被您这样盯着看的话……有点……很为难……太羞人了……
[258] 工作也好，战斗也好，还有……做爱也好……我都会竭尽全力加油的！因为我可是节拍偶像嘛！！
[259] 呜呼呼，长官同时也是我的经纪人呢。二人三脚，让我们更加更加，亲密起来吧！
[260] 经纪人！？要工作了吗？要出动了吗？还是说……额……我什么都会努力去做的！
[261] 啊，经纪人……那种地方……啊……嗯，真是的……不能等到晚上吗？
[262] 偶像不需要战斗的时代……希望总有一天会到来呢。为此，我也要努力唱歌了哦～！
[263] 看起来没什么精神呢，没问题吧？加油！加油！经纪人！！怎么样？起精神了吗？
[264] 经纪人，我可以再待在您身边一会儿吗？注视着您的样子，总觉得能浮现出很好的歌词呢。
[265] 最近有好好睡觉吗？对了！我来为您唱摇篮曲吧！诶？现在困的话会很麻烦？真是～的……太遗憾了。
[266] 嗯……嗯、嗯呜！嗯呜、啊！啊、啊、啊啊……！
[267] 啊呜、呜、嗯っ！……课程训练，非常感谢。
[268] 已经、已经是极限了！啊、啊啊！啊っ、啊啊啊啊啊！？
[269] 我……我居然输了……啊啊……不要啊啊啊啊啊！！！
[270] 大家—！气氛嗨起来了吗—！？
[271] 要上了哦—！
[272] 绝对不会输！
[273] 好痛！？
[274] 太遗憾了。到此为止了……。
[275] 问在我身边漂浮着的是什么……？余也不知道！
[276] 余的肌肤可是滑滑嫩嫩、光彩照人的哦～来，你摸摸看也无妨。
[277] 唔唔，这身打扮肚子好冷……再靠余近一点啦～
[278] 余知道自己很“性感（Sexy）”啦！
[279] 这件战斗服胸口非常紧呢～～，嗯，挤得紧紧的（棒读）。所以只是看起来比较小而已哦！
[280] 问余是不是很在乎翘起来的头发？蠢货！从这头发翘起的程度就能看出身体状况了。现在可是精力充沛、状态绝佳的样子哦～
[281] 唔……讨喜的角色吗……嗯，听起来还不错。
[282] 虽说余能理解你对巫女服感兴趣……但内在也很重要哦。
[283] 想要疼爱余的话，坦率说出来就好了！
[284] 想看余的容貌对吧？……呜呼呼……就由你在近距离慢慢欣赏吧。
[285] 喂喂喂喂喂……余在网上看到恐怖故事了啦……什么？是巫女的话就没关系吧？你说什么！？……现实中的东西可比虚构的故事可怕多了啊！
[286] 一个人度过固然不错，但热闹一点也不赖呢……硬要说的话，和主公大人两个人独处是最棒的……呜呼呼，余就不说这种奢侈的话了。
[287] 嗯呀！嗯啊啊……啊。真舒服呢……。
[288] 嗯嗯嗯！嗯っ！呼っ！呼啊啊！？
[289] 嗯、嗯嗯嗯！力量、涌出来了……呀！？呼呀啊啊啊啊啊！？
[290] 通量爆发，节拍转换！
[291] 攻、攻击余的话可是会遭天谴的哦！
[292] 痛的事情拜托就免了吧！
[293] 众卿家，辛苦了！
[294] 耶！
[295] 嗒呀！
[296] 让你们见识见识余的厉害！
[297] 要上了！
[298] 诶埃，这可是流血大甩卖啊！
[299] 净化符咒，大方派送！
[300] 好痛っ
[301] 好过份哦！？
[302] 啪嗒砰（倒下）～
[303] 哇～～～伊！！要是拿点心来的话余就夸奖你！
[304] 嗯呼呼……相当展现出男儿本色了嘛……
[305] 莉亚大人，我一定会回到利萨斯的，请等我！……能等我吗，大概。
[306] 哎呀？又变强了？
[307] 太棒了！我们去等级屋吧！
[308] 要是比跑步的话我可不会输！
[309] 好痛！
[310] 你干什么啦！？
[311] 咕……力、力量涌上来了…嗯，呼啊啊啊嗯！？
[312] 这样就能……好好照顾时定大人了！
[313] 时定大人！啊，昂！太猛烈了啦！！
[314] 又要冒险了吗～。这次会发生什么事呢？……霓嘿嘿♪
[315] 哈～，魔法修行什么的，还是打魔王之前的事了呢～。
[316] 嗯，乖啦乖啦。感觉挺不错的嘛♪
[317] 哦，要去等级屋了吗？
[318] 啊～可恶……搞砸了啊……
[319] 真是的……真服了你了……
[320] 嗯……大概就这种程度吧。
[321] 切实感受到了自己变强呢。
[322] 升级了呢。
[323] 不要……哈、放开我！！
[324] 战斗开始
[325] 战斗胜利
[326] 谢谢。……也是呢，我极少收到礼物，所以很高兴哦。
[327] 正义的苍蓝子弹！节拍枪手·龙胆！在此参上！
[328] 绝不原谅邪恶！敌人要是来了请立刻告诉我。
[329] 没事的话我就回去训练了。还必须变得更强才行。
[330] 大家和睦相处……吗，抱歉，我对那种事没兴趣。
[331] 总觉得，感受到了某种下流的视线。
[332] 我，似乎……那个，并不讨厌你。
[333] 谢谢你一直关照我。即便是我也是心怀感激的哦。
[334] 对我的身体，很在意吗？只是稍微摸一下的话，可以哦。
[335] 嗯？长官？睡着了吗？
[336] 呼，真是好久没穿蓝仙子（Blue Fairy）了呢……呼呼，总觉得挺开心的。
[337] 好痛！什、是什么呢？
[338] ダイビート（Dai-Beat）给的薪水很高，帮了大忙了……终于能摆脱只吃豆芽菜的生活了。
[339] 哇！？那个，为什么要摸我？我做错什么了吗？
[340] 呜呜，和男孩子一起工作，总觉得好害羞。
[341] 请、请不要这样盯着我看，脸要发烫了。
[342] 长官，非常感谢您一直以来的照顾。我真的得到了很多帮助。
[343] 是D、D充能吗，哇哇，我知道了。给您添麻烦了。
[344] 得更加好好学习演技才行，英雄的工作也不能落下……呼，要做的事好多。
[345] 像我这样的人当女主角，真的可以吗？呜呜，果然很不合拍吧。
[346] 嗯嗯っ，啊！长、长官，咕呜！？
[347] 嗯嗯呜，那里……好痒。
[348] 呼啊啊，好厉害……！力量、溢出来了。
[349] 不、不要……怎么会这样，谁来救救我……
[350] 歼灭敌人
[351] 通量爆发·节拍转换
[352] 决不原谅邪恶
[353] 我来救你了
[354] 哼，是我们的胜利
[355] 大家辛苦了，走，回去吧
[356] 锁定目标，给我中！！
[357] 不行，到此为止了吗
[358] 节拍陀螺·叶樱，我会为您派上用场的
[359] 随、随时都可以出发！虽然有些不安……但既然决定了要战斗
[360] 没、没问题的。一定，能做到，应该能做到
[361] 呀啊！？长、长官！？对不起，我太惊讶了。那个，因为太紧张了
[362] 这就是传说中的性骚扰吗？对象是我的话真的没问题吗？您是不是认错人了？
[363] 如果能被长官看着的话，我感觉什么都能做到
[364] 为了长官，啊、哇哇……不，是为了世界我会加油的
[365] 呀啊，长、长官！？诶，想摸我？当然，我是不介意，但、如果可以的话，最好是在没有人的地方
[366] 这对耳朵吗？嗯——，究竟是什么呢？诶，想摸摸看吗，我不介意哦。呜っ、啊っ、啊呜呜，哈喵啊……
[367] 我的胸部，很奇怪吗？因为，长官从刚才开始就一直在看……不，能被您看着，我很高兴
[368] 诶，是我吗！？居然会和我这样的人搭话，真、很高兴
[369] 是、是的！我在这，刚才一直窝在角落里。大摇大摆地待着总觉得很抱歉
[370] 我待在这里真的可以吗，感觉有点，不，是非常抱歉
[371] 请尽管吩咐，不过，能不能做到……我没什么自信……啊呜呜
[372] 被、被注视着……诶嘿嘿，被长官注视着的话，总觉得心跳开始加速了
[373] 心理准备已经做好了。所以，那个，无论什么时候叫我都可以，是的
[374] 只要长官在身边，就觉得什么都能做到。能产生那样的想法。不过，为了一个人也能独当一面，我会加油的
[375] 啊哇……对、对不起，胸口好闷……是的，胸罩戴得比较紧。因为很快就会变大，所以一直在忍耐
[376] 那个，长官。我，不会碍事吗？要不要再去角落一点……诶！？靠那么近的话会流鼻血的！
[377] 嗯嗯，啊，呼啊！呼啊啊！？
[378] 嗯呜呜！！声、声音……要发出来了……！？
[379] 嗨呜呜，啊啊不行……啊啊，啊啊啊啊啊啊啊啊！？
[380] 不、不要！救救我长官！不要啊啊啊っ！？
[381] 没关系，一定能做到的！
[382] 通量爆发·节拍转换！
[383] 首先，从溜狗（Dog Walk）开始……。
[384] 为了不辜负期待我会努力的。
[385] 我也做到了！
[386] 太棒啦—！
[387] 要上了哦！
[388] 就是那里！
[389] 决定胜负了，特级招式（Hyper Trick）！龙骧虎跃！！
[390] 呀！
[391] 果然，像我这样的人还是……
[392] 咕……这、这是……哈啊っ，哈啊っ……发出了奇怪的声音，嗯……呼啊啊啊啊！
[393] 时、时定殿下……再继续下去的话，啊啊啊！？
[394] 嗯っ时定殿下……感激不尽。我，能够变得更强了……！
[395] 参上！
[396] 我的爱刀今宵也在渴望吸血呢……开玩笑的啦。
[397] 诚っ！
[398] 『美剑流奥义·岩！山！两！断！刃』啊！
[399] 咕！
[400] 咕啊啊！？
[401] 训练无论何时都是不可或缺的呢。
[402] 特训……能陪着我，非常感谢。
[403] 我很擅长射击。
[404] 轮到我出场了吗。
[405] 这是大家共同赢来的胜利呢。
[406] 呼……。目标沉默，战斗结束。
[407] 俩啊！
[408] 做好心理准备吧！
[409] 进攻就趁现在！全员，奋励奋起！
[410] 投入大自然的怀抱，节拍自然·通草（喜纳通草），在此参上
[411] 这身衣服，相当令人害羞呢，把身体的线条都显露出来了……不过，用来爬山也许是最合适的呢
[412] 我很不擅长战斗……但是，不变得更强不行呢。再去爬山增强体力吧
[413] 那个……是不是再瘦一点比较好呢？……那个，比如肚子之类的
[414] 请不要这么死盯着看啦～啊啊，蹲下的话会勒进去的～
[415] 长官君觉得这身打扮怎么样？ 诶，很适合？ 呼呼っ，真高兴
[416] 我能像这样战斗也是多亏了长官君，一直以来非常感谢
[417] 长官君，今晚的行程有空吗？想和你一起去看星星……诶？比起星星更想看我？……真是的
[418] 嗯呼呼～诶，虽然也没有发生什么特别好的事，但保持笑容不是更有趣吗
[419] 欸～依，呀～，诶嘿嘿，这是练习熟练使用手杖。不过，上次把花瓶给打碎了，有点沮丧呢
[420] 那个，有什么吩咐吗？
[421] 长官君，有空的话要不要和我一起散散步？去附近的山里。空气很清新，感觉很棒哦
[422] 山里很不错哦，尤其是早晨。啊，当然，白天和晚上也很棒就是了
[423] 啊っ，请不要吓我啦～我还以为是熊或是野猪呢。平时是不是挂个响铃比较好呢？
[424] 呜呼呼，长官君总觉得好可爱呢，乖孩子乖孩子，可以摸摸头吗？
[425] 诶，今晚的行程吗？虽然有空，是有什么事吗？……开～玩笑的，稍微有点期待呢
[426] 我经常被人说性子很慢呢，嗯——，到底是哪里慢呢？
[427] 春天的山能让人感受到生命的吐息呢。夏天是天空，秋天是红叶很漂亮。不过最耐人寻味的还是冬天的山呢
[428] 自己房间里摆满了植物呢。现在拜托父母照料着，看，开花的话还会发照片给我呢
[429] 啊啊っ，嗯っ嗯啊！啊啊，嗯っ咕呜，啊っ啊っ！嗯啊啊啊啊啊呜！？
[430] 啊啊，好……舒服，感、感觉很棒……呀，啊呜，啊呜！？
[431] 我，变强了！……总有种，这样的感觉。
[432] 怎么会，居然输掉了……不要啊啊啊っ！？
[433] 节拍自然·通草，要出动了！
[434] 我……赢了吗？
[435] 这是大自然的胜利！
[436] 要出～发了哦！
[437] 看招！
[438] 嗒—！
[439] 去吧——！能量手杖——！
[440] 好痛痛
[441] 不、不行っ！人家，要被弄坏了……呀啊啊！？
[442] 连、这种事也做不到……噫！？呜っ！呜呜呜……。
[443] 啊，哥哥……啊，呀……啊，哈啊呜呜！
[444] 要出击了吗～？我要大干一场了哦～！！
[445] 长官……总、总感觉……眼神好下流哦？
[446] 呜—嗯……是不是戳得有点过头了？
[447] 因为有您在，我才想着要加油的！
[448] 啊呜哇……这个姿势，相当累人呢……
[449] 好～～无～～聊，无聊～死了……要不要做个直播呢？突击！秘密基地指令室公开！
[450] 我……什么都没做哦～真的，真的啦……
[451] 噫～～那那那……那种事情……嗯啊，那个……要从现在开始吗？
[452] 长官～，要不要去哪里逛逛？看，去寻找素材……
[453] 长官，下次的视频要不要出镜？人气会暴涨的哦～
[454] 趁现在整理一下文件吧……啊，这个是……阿哈哈哈哈！太搞笑了吧！！
[455] 哎呀？要休息了吗～？那我也休息一会儿好了……
[456] 嗯啊，不、不可以啦……怎、怎么会……！啊……！？
[457] 哈，啊，哈っ……！总、总感觉……有什么进去了……呼，嗯哈啊啊啊啊啊！？
[458] 呼啊啊！？啊，哈っ……不、不行……。
[459] 费莉妮试着参加了战斗！
[460] 那么，视频开始！
[461] 姿～光束！
[462] Hey, You!
[463] 那么干劲满满地要开始了！直播，Start！
[464] “阿贝西！！”（梗源自《北斗神拳》中标志性的惨叫声）
[465] 哪怕……哪怕我倒下了……接下来的第二第三个……啊呜……
[466] 破坏者装备！嘿嘿，不管从哪里来都尽管放马过来吧！
[467] 怎么样长官？很帅气吧！……诶，可、可爱？我吗！？
[468] 好——勒！准备OK，随时都能出发哦！
[469] 虽然这身战斗服很方便行动，但皮肤暴露得是不是有点太多了？
[470] 嘿嘿，我会努力的，长官你就看着吧
[471] 如果是长官的话，要看，要摸，我也不是不可以……哇啊～刚刚的不算！
[472] 嗯嗯っ，明明还在出击前，居然就摸我……啊啊嗯っ
[473] 果然，这身战斗服装露度很高，对吧？呜呜～好害羞啊～
[474] 长官，睡着了吗。呼呼っ，睡脸还挺可爱的嘛。感觉挺新鲜的
[475] 长官，长官！再跟我练练吧，练练～
[476] 嘿嘿，长官是我的上司真是太好了
[477] 敌人出来的话记得告诉我哦，用我的拳头啪地一下搞定！
[478] 1，2，3，4……哦，长官也要一起做肌肉锻炼吗？
[479] 干、干嘛啦，那样死盯着看……很害羞欸
[480] 等等，你在摸哪里啊！？ 被别人看到怎么办啊
[481] 诶，才、才没有特意死盯着长官的脸看呢！
[482] 1，2，3，4……嗯，我在做深蹲，长官也要来吗？
[483] 一直以来谢谢你啦长官，我，非常感谢你
[484] 吆西啊啊啊！强化完成了哦！
[485] 我还能，变得更强！
[486] 嗯呀……这个……？哈、呼、呜……啊昂！
[487] 咕，不、不应该是这样的……
[488] 节拍破坏者·爱，出击！
[489] 轮到我的拳头出场了呢
[490] 开始镇压！
[491] 是我们的胜利哦！
[492] 真是精彩的对决呢！
[493] 呀啊啊啊！
[494] 哈！
[495] 我可不会输！
[496] 由我来守护！
[497] 决不原谅邪恶！
[498] 这就是！我的！全力！『雷！神！拳啊啊啊啊啊啊啊啊啊』！！
[499] 嗯呜！？
[500] 你这家伙っ！
[501] 哇啊！？
[502] 抱歉，剩下的就拜托了。
[503] 啊啊……！不要，这个……好舒服……呼啊啊啊！
[504] 嗯……强化，完成了。
[505] 长官，非常感谢！
[506] 国防陆军特能战技部队所属，龙造寺由衣。代号，节拍破坏者由衣。到ダイビート（Dai-Beat）履职！呜呼呼，请多指教呢♪
[507] 到了这个岁数还穿这种打扮……果然好害羞啊。
[508] 要出动的话随时叫我。我会立刻出击的。
[509] 我去指导一下其他女孩子哦。这也是我的工作之一。
[510] 时、时定君……不可以一直死盯着看哦？啊啊……露出度，好高……。
[511] 真是的……把这种阿姨打扮成这样放在身边……时定君也真是个古怪的人呢。
[512] 呀っ！？碰、真是的造寺君，摸这种阿姨也不会开心的吧？真是个恶作剧的小男生。
[513] 一直以来谢谢你照顾爱和芽衣。如果是时定君的话，两个孩子就能放心交给你了。
[514] 偶尔放松一下也可以的哦。不要太勉强自己了，好吗？
[515] 咕っ……这种程度我可不会输掉呢。
[516] 看来轮到我出场了呢！
[517] 开始镇压！
[518] 哈っ！
[519] 好好反省吧！
[520] 咕っ……看来只能到此为止了呢。
[521] 为了祝福相爱的二人，心中的鼓动敲响钟声！新娘超昂（Bride Escalayer），前往爱的现场，此刻参上！
[522] 呜呜啊……这身打扮，稍微有点害羞呢……
[523] 呀啊啊……刚、刚才摸了吗？
