[694] 咕……昨晚追深夜动画实时直播，睡眠不足……。
[822] 啊昂……啊啊、啊啊、啊，不愧是头领……！！
[823] 啊昂、呜、嗯嗯、呜……这、这也太……强烈了……！嗯啊……啊啊！呼啊啊啊！？
[824] っ、啊啊昂昂昂昂！！要、要绝顶了啊啊啊啊啊啊啊啊！！！
[825] 纵使身败名裂……作为想破的矜持……绝对……
[826] 垃圾焚烧完毕！唔—神清气爽。
[827] 好啦，结束了。今天又能喝到美味的酒了呢。
[828] 需要朕之皇帝的力量吗？——也罢。这也是统治者应尽的义务。
[829] 啊啊啊……！？
[830] 这、这就是？啊咕、哈……！
[831] 这是……啊、嗯嗯！？阿呜！要上瘾了，嗯嗯！嗯呜嗯嗯嗯！？
[832] 别以为能折断朕高贵的心。
[833] 蛊惑人心的魔物……即使是在盛夏，我也绝不会放过！神骑艾克西尔，在此显现！
[834] 虽然看起来很冷，但我现在处于变身状态，所以没关系的。
[835] 这身打扮稍微……不，是非常让人静不下心来呢……
[836] 讨厌啦，感……刚才的姿势非常有魔王的感觉！不可以！
[837] 如果是大海、河流或者水边的巡逻就交给我吧。除此之外的……请让我考虑一下……
[838] 我很喜欢浮在水面上。因为在天界可没有玩水这种事……啊，以前好像也说过类似的话。
[839] 穿这身打扮的话，时贞的面相看起来比平时更有魔王的感觉了呢。
[840] 属于魔王的那一面又露出来了呢……嗯，偶尔的话倒也没关系哦……
[841] 其实原本也有竞泳水着款式可选的，但我选择了这件。才、才不是！！才不是想展示给谁看呢！
[842] 海边小吃店的拉面美味只是气氛烘托出来的啊～……啊！不过烤玉米确实是绝品。
[843] 啊啊啊～昂不行……嗯啊啊啊啊啊啊啊啊啊啊
[844] 啊啊～力量涌出来了……
[845] 啊啊～啊啊啊～好……好厉害的力量……
[846] 都怪我……力量不足……
[847] 炼狱可比这个国家的夏天残酷多了。
[848] 灭绝你们！
[849] 感受吧！西瓜的气息！分海巨斩！！
[850] 谢谢、非常感谢你。我很开心。
[851] 诶？真的可以吗！？非常感谢。
[852] 这、这就是男人的……啊啊！呼啊啊啊啊啊啊！？
[853] （吸溜溜！吸溜溜溜！啾唧！啾啾啾！！）……呼哈。这样子，您满意了吗……？
[854] 啊啊、啊啊啊啊昂！不行了！要变得奇怪起来了啊啊啊！？
[855] 我可不会手下留情哦。
[856] 我有必胜的策略。
[857] 理所当然的结果。
[858] 真是容易看破的战场呢。
[859] 看招！
[860] 哈啊！
[861] 正是进攻的好时机。
[862] 就是现在！
[863] 那么，进击之时已至！拉斯阿尔格·战吼！
[864] 嗯、嗯嗯、嗯っ、嗯啊啊啊！乳头……再多吸一点……。
[865] 这样子……舒服吗？嘻嘻，真高兴。
[866] 被你这么揉乳房的话……母乳都要喷出来了啦！
[867] 看招！
[868] 我可绝不原谅你！『毕宿五·绝灭斩』！
[869] 哈呜！？
[870] 你干的好事啊！？
[871] 已经……到极限了……。
[872] 超昂战士……吾乃神骑艾克西尔。被罪恶沾染的邪恶尖兵，吾将代神诛灭！
[873] 我圣铠的设计很奇特对吧？那是受了我原本所在世界的魔王影响。
[874] 神骑艾克西尔，连同神武日光之冠，随时准备出击。
[875] 戴比特里有许多同伴，真令人安心呢。
[876] 啊昂……虽说英雄本色，但也不可以用那种魔王般的目光盯着女孩子的身体看哦？
[877] 呼啊啊昂……要发困了呢……呼啊……嗯嗯……
[878] 神骑的衣服叫做圣铠，武器叫做神武。我的神武是一把剑，名字叫做日光之冠哦？
[879] 这是为了守护人类未来的战斗。一起并肩作战，赢得胜利吧！
[880] 人类夺回未来的战斗……虽然绵薄，但我也会献上一份力量！
[881] 辛苦了，时贞。穿上制服后，整个人都绷紧神经了呢。
[882] 哈啊（高兴）……这个基地真棒呢！因为每天都能吃到美味的饭菜！
[883] 怎么了吗？真是的（寂寞）……我才不要一个人呢……
[884] 时贞！你跑去哪里了呀？要是就这样把我扔下，我会饿肚子的啊啊啊……
[885] 啊啊……呜。力量涌上来了。
[886] 啊昂……温柔又强壮……。
[887] 阿呜！呼啊啊啊啊昂！？
[888] 咕……！居然对敌人施加这种……羞辱……！！
[889] 大家就由我来守护！
[890] 神骑艾克西尔，参战！
[891] 在炼狱中安息吧。
[892] 镇压完成。
[893] 看招！
[894] 诶嗨！
[895] 呀！
[896] 要上咯！
[897] 征魔的力量啊！
[898] 神击奉上——『
[899] 拂晓的制裁者
[900] 黎明惩戒者
[901] 啊昂！？
[902] 唔啊！？
[903] 咕呜呜！？
[904] 这么棒的东西……非常感谢你！
[905] 太棒了……我很开心！
[906] 遵照崇高的大天使长阿斯艾尔大人的命令，神骑卡佩拉降临！
[907] 我可是深爱着这群可怜虫的。谁敢伤害他们我绝不原谅！
[908] 呼……能把翅膀伸展开来真舒服！
[909] 可怜虫们的战斗，就由本卡佩拉大人来帮你们一把吧！
[910] 还不出击吗？我可都已经准备好了。
[911] 竟然让我在这里等候，你可真是没眼光！
[912] 好闲啊～。我可以看会儿漫画吗？
[913] 喂喂，快住手！
[914] 真是的，好痒啊。
[915] 想要触碰伟大的神骑心情我懂，但给我忍着。
[916] 别随便碰我。不过救赎我倒是可以给你。
[917] 唔～嗯，唔～～嗯……要是敢把我晾在一边，我可就出去了！
[918] 好无聊啊—！好·无·聊·啊！
[919] 噫！？……唔、嗯。倒也不是讨厌啦？
[920] 总感觉……心情怪怪的。那个……那个啊？っ……再多弄一点？
[921] 呀！？嗯、嗯呜！真是的，你好色哦！？
[922] 诶、诶？骗人……。
[923] 就交给伟大的卡佩拉大人吧！
[924] 看吧！我就说会拯救可怜虫的吧？
[925] 吃我一击！
[926] 我甩鞭的手法很华丽对吧！？
[927] 就让你见识一下神骑的力量！
[928] 阿斯艾尔大人亲传的管教之鞭！
[929] 无礼之徒！
[930] 嗯嗯！啊嗯嗯、嗯呜呜！！可以哦。再多玩弄我一点……。
[931] 这样一来……就能更快了。
[932] 嗯嗯、啊啊、嗯嗯……。真是的，怎么又老是摸我的脚啊……。
[933] 嗯嗯、呼啊啊啊……不行！不行不行啊！？呼啊啊啊呜呜！？
[934] 停不下来了……呜诶诶……腰自己动起来，嗯呜！？根本停不下来啊！
[935] 哈啊呜呜呜……。头好晕眩啊……。
[936] 从一开始就要以全速前进！
[937] 我会打通道路，安心跟我来吧。神骑斯特尔，一路冲向红线区！
[938] 前方禁止通行！
[939] 这就是在栓市才能使用的必杀技，打破常规的本地赛车法！
[940] 你知道吗？世界其实比想象中要广阔得多哦。
[941] 我能在拉力赛里奋战，难道说是因为有神骑的力量吗？
[942] 交给我吧，如果是行驶在无路可走的地方，我早就习惯了。
[943] 等恢复和平后，就和喜欢的人结为连理……呀，想要5个孩子呢～
[944] 时贞君，可别以为能甩开我哦，ふふっ
[945] 难道说，时贞君逃跑了！？再稍微等一下下，不行的话我就去找他。
[946] 一直跑个不停的话车子会坏掉的呢，汽车也是这个道理。
[947] 怎么了，是有什么问题吗？我好歹也是驾驶教官，关于汽车的事问我什么都行哦。
[948] 必须严格遵守交通规则。
[949] 啊啊……时贞君今天也很帅气呢。
[950] 早安，来吧，今天也要好好干哦。
[951] 像少女漫画那样美好的恋爱，我现在真的超级幸福！
[952] 哈啊～……又收到朋友的结婚请帖了。什么时候才能轮到我呢……（瞟，瞟）
[953] 哼哼，虽然当驾校教官的时间不算长，但可爱学生们的脸我都好好记着呢。
[954] 哎呀，时贞君不在呢。是跑去兜风了吗？
[955] 如果累了就好好休息。由我来治愈你吧。
[956] 能感觉出来速度变得更快了。
[957] 啊～嗯，感觉要过热了。
[958] 啊啊，别、别过来！你们不是那个人……不要，不要啊啊啊っ！！
[959] 比赛开始了。
[960] 圣装女武神，斯特尔！
[961] 累了的孩子快进站维护吧，换我上场。
[962] 就由教官来传授你们交通规则吧。
[963] 离和他一起到达终点又近了一步呢！
[964] 遵守交通规则，愉快地兜风吧。
[965] 一档！
[966] 二档！
[967] 三档！
[968] 好痛！
[969] 呀嘻！
[970] 咕嘻！
[971] 咕呜，居然这么快就没油了。
[972] 我……可不想变得……舒服起——等等！？哈昂！啊！？
[973] 哈啊、啊、呜……咕呜！？那里……不行……！
[974] 哈啊っ！啊！？呼啊啊！！？这种感觉，还是第、第一次……！
[975] 这是大家共同铸就的胜利！
[976] 德呀—！
[977] 区区这种程度！
[978] 怎、怎么会……
[979] 神骑蒂亚罗露，从此刻起加入作战。守护大家的内心是我的职责。请多、请多指教了ね
[980] 准备万全，随时可以开始。
[981] 虽然比白大褂紧身了点，但屁股看起来有没有变小一点点呢？
[982] 神武能顺应心意移动，但这也是生物……应该不是吧，到底需不需要心理护理呢……
[983] ～……っ，不行不行，在神武上面睡觉太舒服了，睡得太沉可不好呢。
[984] 哎呀，不行不行，忍不住用神武把你拉过来了。因为正好看见你，就顺手……
[985] 嗯—，要是翅膀能再大一点，就能抓住你一起玩了。
[986] 难道说，你更喜欢这种装扮？如果是这样的话，今晚就保持这个样子做吗？
[987] 难道说，你困了吗？请在维持睡眠规律的同时，在不过度的范围内保持清醒哦。
[988] 已经睡着了吗，摇篮曲的话……我对唱歌没什么自信，还是算了吧。
[989] 请问，是怎么了吗？有什么想咨询的随时可以找我。
[990] 哼哼，想摸、想摸对吧。那么，请吧，不用客气。
[991] 触碰他人能减轻压力，所以，来吧，请吧。
[992] 以后你的理疗时间里，要加上抚摸我这一项吗？哼，真的加进去也是可以的哦。
[993] 请吧，请吧，请摸摸我。
[994] 被你触碰的话我的压力也能得到释放……所以，请再多摸摸我。
[995] 如果可以的话，也请摸摸我的头。让我向你撒撒娇吧。
[996] 累了吗？要不要休息一下呢？
[997] 工作间隙要动一动身体哦。促进血液循环对身心健康都很重要。
[998] 能守护更多的人了呢。
[999] 嗯昂……这感觉好像要上瘾了。
[1000] 啊啊！再多一点、再多一点注入到我的体内……！
[1001] 怎么会！大家，快撤退，快撤退！
[1002] 开始诊疗。
[1003] 圣装女武神·蒂亚罗露
[1004] 就交给我吧。
[1005] 我会守护你的。
[1006] 大家，辛苦了。
[1007] 有好好守护住你的心吗？
[1008] 哼！
[1009] 呀っ！
[1010] 还没完呢。
[1011] 咕
[1012] 呀啊啊！
[1013] 我、身为医生怎么能倒下……
[1014] 嗯，啊啊。好棒！嗯啊，太棒了！！啊啊，再多来点！再多来一点啊，长官大人！！
[1015] 嗯，啊！那么用力吸的话……脑袋会变得一片空白的。
[1016] 啊，嗯，嗯嗯……那里……不能摸……。
[1017] 圣装！女武神决斗！
[1018] 虾啊！决斗开始！
[1019] 我还能继续打！
[1020] 吃我一招！
[1021] 尝尝这个怎么样！
[1022] 这就是我的王牌！
[1023] 『召唤≪苍银之結晶龙≫』！
[1024] 这份屈辱，我绝不会忘记……！
[1025] 哈昂！？再多……！再激烈一点……！！
[1026] 腰、腰腰……！？嗯！腰擅自动起来了啊！
[1027] 嗯、啊！哈啊！？和、自慰完全不一样……。
[1028] 神骑弗洛蕾尔，这就出阵了！
[1029] 舞台的大幕已经拉开！
[1030] 演出到此落幕！
[1031] 故事要以 Happy End 结尾。
[1032] 看招！
[1033] 倾泻如暴风雨般的剑击！『风暴之刃』！
[1034] 不行！
[1035] 嗯啊！
[1036] 嗯哈啊！？哈啊……哈啊……！你的东西……流进来了——！？
[1037] 啊！已经不能再继续了！啊昂已经，不行了啊啊！？
[1038] 嗯！好痛……。但是，好舒服啊……！
[1039] 哈啊……啊，被长官抱住的话……五感在变得越来越敏锐……。
[1040] 嗯っ！啊！？呜！っ……再多、嗯呜っ！再多！强烈一点、嗯呜呜！啊啊！！
[1041] 啊啊，啊啊啊……哈昂！？啊，哈，呜……长官的精液……好闻的味道，啊啊。
[1042] 获胜的是你……这具身体，随你处置！
[1043] 为什么肉棒会变大呢？啊！是为了插进来啊w（下流的坏笑）
[1044] 请让护士用手交帮你喷出来吧。
[1045] 请在我这里的口袋，打上一针粗壮的打针吧。
[1046] 全都、把精液全部灌进来！啊啊啊啊！？
[1047] 看招♡
[1048] 啊……！靠魔力，变强了……！？
[1049] 啊啊！不、不行啦！嗯嗯……啊！嗯！哈呜！？
[1050] 啊啊！？哈、啊、啊、嘻呀啊啊昂！？
[1051] 赢了吗！？太好了！
[1052] 坠落吧！
[1053] 哎呀！
[1054] 选定之箭啊，贯穿吧！『丘比特之箭！』
[1055] 呜呜呜，被、发现了……别、别看小森这种打扮啊。别看啊！呜呜。
[1056] 嗯喵啊！什什什、干嘛摸我啊？呜呜，变态变态。
[1057] 喵喵。我是猫猫小森。喵啊啊。
[1058] 呜呜呜。别、别一直盯着我看啦。长官真色。
[1059] 可恶—。就这样拿小森当笑柄，大家一起寻开心。全是些坏欺负人的家伙。
[1060] 既然在发呆，那就坐在长官的大腿上吧。嘿嘿，长官好暖和。呼呼。
[1061] 长官，一直以来谢谢你。其实我心里挺感谢你的。不过我用了能力，你大概听不见吧。嘻嘻。
[1062] 守护孩子们安然入睡的圣夜，守护者乃是圣人，吾即圣诞老人是也！……开玩笑的……呜哼……您觉得怎么样呢？
[1063] 哎呀？想要礼物吗？坏孩子可不能给哦……不过是时贞大的话就没问题呢！呜哼
[1064] 穿成这样练龙轮功……是……吗？？好的，遵命……在合适的时候，随时请您吩咐……
[1065] 一直在努力的时贞大人，我也想送您一份礼物呢。我会好好想一想的！
[1066] 啊……被这样盯着看的话……嗯……会有点困扰的……真是的……时贞大人真坏……
[1067] 时贞大人要是也乖乖听话的话，今晚圣诞老人一定也会出现的哦。呜呼……开玩笑的啦♪
[1068] 遥圣诞老人，在此见参！啊，抱歉。刚才在练习自我介绍。
[1069] 很在意这身衣服吗？呜呼……非常可爱，我也很喜欢呢。
[1070] 转圈！转圈！转——圈！呜哼……这身衣服果然很可爱……我都在镜子前看了好多次了。
[1071] 叮叮当♪叮叮当♪哼哼哼哼—♪啊！对、对不起……我有点得意忘形了（汗）……
[1072] 这样就能派发更多的礼物了……！
[1073] 嗯嗯……不要啊！？啊啊啊昂！！？
[1074] っ！嗯嗯，不行……！摸那种地方……啊昂！
[1075] 啊啊……怎么会……到此为止了……吗……
[1076] 圣诞快乐！
[1077] 遥圣诞老人，见参！
[1078] 愿圣夜降下祝福……
[1079] 大家都是乖孩子乖孩子♪
[1080] 这种时候就用这个！
[1081] 德呀啊！
[1082] 诶耶！
[1083] 贯穿圣夜吧！『圣·四门五月雨』！
[1084] 居然是由我收到礼物……呼呼……完全颠倒过来了呢……
[1085] 这么棒的东西……我会好好珍惜的！
[1086] 呀昂！不要啊啊啊啊啊啊啊！！
[1087] 喵！？啊啊啊啊昂！！
[1088] 嗯嗯！？头领，别看那种地方呀……！
[1089] 正义盛开！恶人昌盛的日子绝不会到来！
[1090] 啐呀！
[1091] 嗯，咕呜呜呜呜！？
[1092] 这样一来，就能斩得更锋利了……！
[1093] 啊啊，呜！呼啊啊啊啊啊啊啊！？
[1094] 我是血之开膛余命！
[1095] 装身，久世天衣雾缝！
[1096] 本来还想再多斩几个的啊。
[1097] 帮我转告阎魔大王吧。
[1098] 还要更多！
[1099] 呜呼呼……！
[1100] 呼呼……。
[1101] -（常时发动型，故无语音）
[1102] ——，斩斩斩斩斩斩斩斩斩KILL！！！
[1103] 啊—哈哈哈哈哈哈！
[1104] 咕！
[1105] 这个也是可以斩的东西吗？
[1106] 谢谢
[1107] 哈啊、啊、还没完、继续咯……！啊……啊昂……！
[1108] 啊啊！嗯嗯啊啊啊！っ、更、加！强烈地、呜呜呜！
[1109] 把我弄坏吧……嗯嗯……っ啊啊……让我更有感觉……っ！
[1110] 哼。
[1111] 怎么样。
[1112] 给我彻底粉碎吧！
[1113] 来大闹一场吧，让我体会一下痛楚！
[1114] 也就马马虎虎吧。
[1115] 闪忍海抵达—。恶人我会毫不留情地把他们沉入海底，做好心理准备放马过来吧
[1116] 今天可是绝佳的出事好天气呢，路上小心点哦
[1117] 我可不是因为喜欢才穿水着装的，这样方便我施展忍术而已
[1118] 我倒是无所谓啦，头领你对其他女孩子也是做这种事吗？
[1119] 要是敢对人鱼动手，我可是会把你沉入海底的哦～
[1120] 哼哼哼～，啊，抱歉！你没在听对吧？
[1121] 头领真好呢，懂得怎么使用我，呼呼，这种感觉还是第一次呢
[1122] 好啊，那就一团糟吧……呼呼
[1123] 嗯、嗯っ、噗哈……诶？这是憋气训练啦，10分钟左右就是极限了吧～
[1124] 这身战斗服感觉很有某种人鱼风范呢，嗯，我也挺喜欢的。尾鳍是可爱亮点吧
[1125] 嗯？我做了什么吗？
[1126] “谁赢谁输”固然重要，但在那之前得先杜绝事故才行呢
[1127] 休息也是勤奋的一部分，对吧～，头领也稍微休息一下吧
[1128] 训练，的意思吗？ 请自便～
[1129] 嗯～，我很喜欢这种平淡无奇的时间呢
[1130] 呼呼，头领也沉醉于我的魅力之中了吗？
[1131] 乱摸的话，我也会摸回去的哦？
[1132] 嗯～，什么都没做哦，只是在发呆而已。啊，不过我刚才好像在看着头领呢
[1133] 呐，头领。闲着的话就一起去巡逻吧，一起在街上转转，去各种各样的地方……呼呼，为了不走丢得牵着手才行呢
[1134] 输了吗……至少，希望大家能……
[1135] 好嘞
[1136] 久等了！
[1137] 人鱼众直系，闪忍海，上前拜见！
[1138] 好啦结束，大家都没事吧？
[1139] 那么，就当做是从定置网重新开始好了
[1140] 要上咯—
[1141] 哈
[1142] 沉下去吧！
[1143] 分明最讨厌杀人的招式了……倾听罗雷莱的歌声吧！
[1144] 好想……拯救大家……
[1145] 我叫锁锁镰锁。今后将在头领麾下作为闪忍尽心尽力。
[1146] 如果是为了变强的话……嗯嗯っ……！
[1147] 哈！？啊啊、不……不行……。
[1148] 嗯っ！啊……！ふ、嗯嗯……！
[1149] 不要……那种事、讨厌……
[1150] 锁缚术之一，葬送锁缚阵！
[1151] 嗯呼呼……喷出了好多好多呢？
[1152] 讨厌啊！嗯嗯、嗯……别老是、欺负胸部啊——！？
[1153] 啊啊……嗯、嗯啊啊啊！你、你的东西、顶到最里面……来了！
[1154] 小虫虫们！准备好了吗！？
[1155] 去吧！
[1156] 尝尝这个怎么样！
[1157] 『终幕·虫乱舞』！
[1158] 借助微小昆虫的力量……！
[1159] 嘻昂！
[1160] 阿呜！？
[1161] 咕呜……小虫虫、们……。
[1162] 嗯，很顺利呢。
[1163] 啊……温暖的东西、灌进来了……嗯嗯嗯！
[1164] 这、这是，啊！阿呜！嗯呜呜！？
[1165] 连我居然也！？咕……呜啊啊！？
[1166] 上弦众，闪忍昴参上！
[1167] 任务了解。昴，出击！
[1168] 斩！
[1169] 上吧，『斩·冻牙疾风』！
[1170] 我是闪忍司。平时是赌场荷官，偶尔做做忍者。那么，我就按报酬的份量干活吧
[1171] 战斗啊，嘛倒也不是不行～
[1172] 下一个目标是大碗牛肉饭呢，嗯？在聊任务的事对吧？听着呢听着呢～
[1173] 今晚可是大决胜负呢～啊，抱歉我想着赌场的事了
[1174] 虽然喜欢游戏，但讨厌赌博呢。失去的东西反而更多对吧？
[1175] 如果是为了你的话，就会想要付出超越报酬的努力呢。真神奇啊
[1176] 别把我当成守财奴，我早就决定了绝不背叛相信我的人。
[1177] 夜里的报酬，希望用身体来支付呢
[1178] 是待命命令吗，嘛，不用干活也是件好事呢
[1179] 嗯？难道说，你看你看得入迷了？开玩笑的啦
[1180] 今晚我会去赌场露个面，头领也要来玩吗？
[1181] 在赌场经常会被性骚扰呢，不过那些家伙最后全都变得一文不剩了
[1182] 想和我做色色的事？那就用抛硬币来决定吧。……哎呀，真遗憾。
[1183] 啊，触摸可是要另外收费的哦～
[1184] 顺便一说这枚硬币两面都是正面，你想赌哪一面？
[1185] 要我教你几招老千手法吗？ 瞧，藏在这里。摸摸看
[1186] 头领，今晚我有空哦……要来和我胜负一场吗？
[1187] 呼啊～啊，开始发困了呢
[1188] 头领？睡着了吗？要不要捉弄他一下呢
[1189] 嗯啊啊！好棒！没办法想别的事情了啊！
[1190] 嗯嗯嗯，喜欢那里。好舒服……。
[1191] 嗯……（吸溜）嗯っ（吸溜溜！）……嗯、呼呼。舒服吗？
[1192] 是吗……要我用身体来支付啊……！
[1193] 就让你见识一下赌徒的作风。
[1194] 装身·久世！天衣雾缝！
[1195] 闪忍司，出击。
[1196] 既然你要我去的话我是会去啦……。
[1197] 吃完乌冬面再回家吧。
[1198] 摊牌。是我赢了呢
[1199] 好，打中那里！
[1200] 就只有这种程度吗～？
[1201] 走这边！
[1202] 恭喜你，中大奖了哦。
[1203] 推荐你投降（Surrender）哦。
